"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:07:55","SenDonnelly","Today, Joe called on Congress to pass #NDAA &amp; do more to prevent military &amp; veteran suicide. https://t.co/uaYmXp7XLg #SuicidePreventionMonth","NDAA SuicidePreventionMonth"
"2016-09-21 ","20:44:44","SenDonnelly","WATCH: During Senate Ag hearing Joe asked @USDA Sec. Vilsack how to better address opioid abuse in rural communities https://t.co/E2UNqSLaq2",
"2016-09-21 ","19:43:50","SenDonnelly","Joe released the following statement after Senate Finance passed bipartisan #MinersProtectionAct https://t.co/BZvJiTzgD1 https://t.co/YbYVMU8V0h","MinersProtectionAct"
"2016-09-21 ","19:00:12","SenDonnelly","This morning, Joe greeted Hoosier veterans on an Honor Flight trip at the WWII Memorial. https://t.co/ziI87NYFOp",
"2016-09-21 ","17:05:34","SenDonnelly","…and we won’t stop working until you receive the care and support you so truly deserve. -Joe",
"2016-09-21 ","17:05:23","SenDonnelly","To our servicemembers and veterans struggling with mental health challenges, and their loved ones: we are here for you. - Joe",
"2016-09-21 ","17:05:14","SenDonnelly","Throughout Sept. we will recognize #SuicidePreventionMonth, but this is an issue it demands our attention every day of the year. -Joe","SuicidePreventionMonth"
"2016-09-21 ","17:04:45","SenDonnelly","We must do more to help prevent military and veteran suicides. - Joe",
"2016-09-21 ","17:04:37","SenDonnelly","There is no single solution that ends suicide. -Joe",
"2016-09-21 ","17:04:20","SenDonnelly","I urge Congress to come together on a final defense bill that can be sent to the President and signed into law. - Joe",
"2016-09-21 ","17:04:02","SenDonnelly","It expands the availability of PAs to provide mental health care evaluations and services for servicemembers and their families. -Joe",
"2016-09-21 ","17:03:43","SenDonnelly","This year, the final provision of my bipartisan #CarePackage passed the Senate as part of #NDAA - Joe","CarePackage NDAA"
"2016-09-21 ","17:03:36","SenDonnelly","…so these services reach the troops and veterans who need them most. -Joe",
"2016-09-21 ","17:03:20","SenDonnelly","We need to ensure the laws we’ve passed, including the #SextonAct &amp; #CarePackage, are implemented correctly - Joe","SextonAct CarePackage"
"2016-09-21 ","17:02:54","SenDonnelly","&amp; to deliver mental health care in a way that meets the unique needs of servicemembers and veterans… -Joe",
"2016-09-21 ","17:02:36","SenDonnelly","…which helped expand access to quality mental health care for servicemembers - Joe",
"2016-09-21 ","17:02:32","SenDonnelly","last year, we had provisions of my bipartisan Servicemember and Veterans Mental Health #CarePackage signed into law -Joe","CarePackage"
"2016-09-21 ","17:02:13","SenDonnelly","&amp; established…a requirement that every servicemember – Active, Guard &amp; Reserve – receive an annual mental health assessment. - Joe",
"2016-09-21 ","17:01:53","SenDonnelly","In 2014, my bipartisan Jacob Sexton Military Suicide Prevention Act was signed into law. -Joe",
"2016-09-21 ","17:01:32","SenDonnelly","Despite gridlock in Congress, this is an issue where we have a solid bipartisan consensus. - Joe",
"2016-09-21 ","17:01:14","SenDonnelly","These numbers illustrate the simple, terrible fact that we are losing too many of our servicemembers and veterans to suicide. -Joe",
"2016-09-21 ","17:00:38","SenDonnelly","We are painfully aware of the statistic that an estimated 20 veterans a day take their own lives. - Joe",
"2016-09-21 ","17:00:31","SenDonnelly","In 2015, 475 servicemembers took their own lives. Prior to that we lost 443 servicemembers in 2014 and 474 servicemembers in 2013. -Joe",
"2016-09-21 ","17:00:11","SenDonnelly","Last year, for the fourth straight year, more U.S. troops were lost to suicide than in combat. - Joe",
"2016-09-21 ","17:00:04","SenDonnelly","Today, I want to talk about suicide prevention as it relates to our servicemembers, our veterans, and their families. -Joe",
"2016-09-21 ","16:56:59","SenDonnelly","Joe is headed to @SenateFloor to call on Congress to pass #NDAA &amp; do more to end military &amp; veteran suicide. WATCH: https://t.co/F62JYLGefF","NDAA"
"2016-09-21 ","15:26:35","SenDonnelly","W/ the help of Joe’s staff, Muncie WWII veteran Junior Howell was awarded the Purple Heart he earned serving as a @USMC in the Pacific. https://t.co/ILYGO2d8AA",
"2016-07-15 ","17:38:31","SenDonnelly","Joe &amp; his wife Jill will participate in keel-laying for future USS Indianapolis on Monday in Wisconsin. https://t.co/kpg0iN60hG",
"2016-07-15 ","17:18:49","SenDonnelly","Joe’s staff joined @DeptVetAffairs Sec. McDonald for his visit to VA in South Bend. https://t.co/tnFt6Udmfd",
"2016-07-15 ","15:36:59","SenDonnelly",".@blue, official mascot of the @Colts, was awarded @NFL’s Mascot of the Year. https://t.co/kFnYxWzwtb #GoodNews","GoodNews"
"2016-07-15 ","00:27:48","SenDonnelly","Learned abt the terrible news out of Nice, France. My thoughts are w/ the victims &amp; their families,&amp; we stand united w/ the French ppl. -Joe",
"2016-07-05 ","22:48:33","SenDonnelly","#GoodNews: 5 Indiana colleges named as “Top Midwest Colleges of 2016” by @Forbes. https://t.co/l154kRd2Wa","GoodNews"
"2016-07-05 ","16:15:49","SenDonnelly","Joe’s staff visited the traveling, replica Vietnam Veterans Memorial Wall at @IUKokomo last week. https://t.co/RGKrQNmTk9",
"2016-06-10 ","22:00:26","SenDonnelly","Joe’s staff will host a #VeteransHistoryProject in Connersville on Wed. 6/29. More here: https://t.co/l90Av1U4we https://t.co/s5VE788irL","VeteransHistoryProject"
"2016-06-10 ","16:28:30","SenDonnelly","#GoodNews: New 90,000 square foot @TechPurdue building to be built on former GM property in Anderson: https://t.co/W1YnPV9MfP","GoodNews"
"2016-06-10 ","15:03:06","SenDonnelly","A giant Minion stands watch in Ossian in honor of late farmer, Jim Stark. #INtownoftheday https://t.co/l5buAUnKKq","INtownoftheday"
"2016-06-10 ","01:31:26","SenDonnelly","This morning Joe met students visiting D.C. from Rushville High School. https://t.co/H5wEWSx6Si",
"2016-02-23 ","23:06:03","SenDonnelly","IN’s State Health Commissioner to testify at Senate Committee on Aging hearing tmrw re: opioid abuse among seniors. https://t.co/9KDav4yB8y",
"2016-02-23 ","18:08:45","SenDonnelly","Joe met with the @AmericanLegion Department of Indiana today on how we can be #Accountable2Veterans https://t.co/XkBac8YSKO","Accountable2Veterans"
