"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:51:02","SenateMajLdr","The #Obamacare Reality → https://t.co/qUrhmrBCwr","Obamacare"
"2016-09-21 ","16:48:26","SenateMajLdr","Nailed it 🔨 @JCCIC @uscapitol https://t.co/HRtKQConeS https://t.co/95yViw5y28",
"2016-09-21 ","16:14:54","SenateMajLdr","Despite the #Obama Administration rhetoric, the #IranDeal 'has not resolved many concerns about Iranian behavior’ → https://t.co/EYfcA8t8GR","Obama IranDeal"
"2016-09-21 ","14:30:27","SenateMajLdr","Why #Senate Democrats continue to push #Obamacare after millions of Americans are being hurt by it is flat out insulting. https://t.co/IumHb7LI4X","Senate Obamacare"
"2016-09-21 ","13:38:13","SenateMajLdr","What's the #Democrats’ plan for “fixing"" #Obamacare? More Obamacare... #nottheonion","Democrats Obamacare nottheonion"
"2016-07-15 ","19:04:51","SenateMajLdr","The flags at the US Capitol are lowered to half staff for the #NiceAttack. We stand with the people of France. https://t.co/wiv5Nn6O3N","NiceAttack"
"2016-07-15 ","01:17:18","SenateMajLdr","We stand with the people of France. #NiceFrance  https://t.co/UNn2aEFX4v","NiceFrance"
"2016-07-05 ","14:42:37","SenateMajLdr","#ISIS ""...is expanding its global scope, inspiring groups and individuals spread across several continents..."" https://t.co/NjQWgIyK0d","ISIS"
"2016-06-10 ","18:02:18","SenateMajLdr","Thank you @SenJoniErnst for underlining the importance of the Female #Veteran Suicide Prevention Act the Senate passed this week.","Veteran"
"2016-06-10 ","16:51:07","SenateMajLdr","#Obama doesn’t like bipartisan prohibitions on transferring hardcore terrorists from #Guantanamo to America. https://t.co/8Nbf0QzBYS","Obama Guantanamo"
"2016-06-10 ","16:02:30","SenateMajLdr","The #NDAA will promote defense innovation &amp; research. It was encouraging to see the #Senate vote to advance it today https://t.co/N3eVZXAw2n","NDAA Senate"
"2016-06-10 ","13:55:37","SenateMajLdr","Looking forward to speaking at the annual @FaithandFreedom Coalition’s Road to Majority Conference this morning.",
"2016-06-10 ","12:48:54","SenateMajLdr","We must give our men &amp; women in uniform resources needed to confront the challenges of today &amp; threats of tmw. #NDAA https://t.co/rfZHuYTjFc","NDAA"
"2016-02-23 ","22:24:13","SenateMajLdr","Presidents have a right to nominate just as the #Senate has its constitutional right to provide or withhold consent. #SCOTUS","Senate SCOTUS"
"2016-02-23 ","17:47:39","SenateMajLdr","“With respect to individuals being transferred to the United States, the law currently does not allow for that..."" @LorettaLynch on #Gitmo","Gitmo"
"2016-02-23 ","17:00:22","SenateMajLdr","Despite @POTUS' plan, moving #Gitmo terrorists to U.S. communities is wrong and illegal. https://t.co/zQUgHVuRw8 https://t.co/uxWo0RxPXn","Gitmo"
