"Date","Time","screen_name","text","hashtags"
"2014-05-21 ","17:38:51","SenLandrieu","Basic principle: when you work hard &amp; play by the rules, you deserve a fair shot to build prosperous future &amp; earn #PassportToTheMiddleClass","PassportToTheMiddleClass"
"2014-05-21 ","17:36:03","SenLandrieu","#PassportToMiddleClass initiative restores potency of the #PellGrant &amp; lets borrowers refinance loans http://t.co/QYnJfPHwQC","PassportToMiddleClass PellGrant"
"2014-05-21 ","17:29:14","SenLandrieu","Each yr, tuition goes up &amp; #LA funding goes down. It’s not sustainable nor allows youth to earn an affordable education needed to compete","LA"
"2014-05-21 ","17:27:52","SenLandrieu","A college degree should help individuals build dreams, not debt. That’s why I launched #PassportToMiddleClass: http://t.co/QYnJfPHwQC","PassportToMiddleClass"
"2014-05-21 ","17:01:02","SenLandrieu","I’m glad to see @Transport Chair held hearing to include Morganza to the Gulf in the final water bill #WRDA http://t.co/HXXCkzUlca","WRDA"
"2014-04-01 ","21:59:50","SenLandrieu","Read my letter urging @VAChair to work with me find a path forward for our SWLA Vets ASAP http://t.co/CN3IYT79We",
"2014-04-01 ","21:58:51","SenLandrieu","SWLA Vets cannot &amp; should not wait any longer to have full access 2 healthcare they deserve. I urge @VAChair @SenSanders @SenatorBurr to act",
"2014-04-01 ","19:32:51","SenLandrieu","Our #sugar producers deserve an fair playing field. I urge ITC &amp; @CommerceGov to investigate dumping of Mexican sugar into American markets","sugar"
"2014-04-01 ","19:03:16","SenLandrieu","Mexico illegally dumping sugar into American markets must be investigated to ensure fairness for our Louisiana sugar http://t.co/OLeC9J9mb1",
"2014-04-01 ","14:41:45","SenLandrieu","While a man would take home $47k/yr– for the same work–a woman’s paycheck would be $16k less a yr. That's $1,300 less per month! #equalpay","equalpay"
"2014-04-01 ","14:39:40","SenLandrieu","Louisiana sadly ranks second-to-last in #equalpay for women #paycheckfairness http://t.co/BBF6ziScxq","equalpay paycheckfairness"
"2014-02-18 ","16:07:11","SenLandrieu",".@NOLAnews: Delaying Biggert-Waters will provide real relief; @FEMA needs to complete affordability study &amp; fix maps http://t.co/t5i0whOVAy",
"2014-02-18 ","16:06:43","SenLandrieu","Senate bill does this: RT @NOLAnews: House needs to provide real relief on flood insurance rates: Editorial http://t.co/oojT8rbmhx",
"2013-07-24 ","22:41:32","SenLandrieu","Senate student loan plan keeps rates low, caps rates &amp; saves the average #LA student $1,471 http://t.co/CFSnjsprtW","LA"
"2013-07-24 ","20:29:06","SenLandrieu","As @WWLTV reports, I will not rest until #Louisiana get's our FAIR share of energy production revenues http://t.co/qWt6Ix1jly #FAIRAct","Louisiana FAIRAct"
"2013-07-24 ","00:01:41","SenLandrieu","It's not magic; it's the hard work of ppl on the ground &amp; local investment in infrastructure. We deserve a share of the revenue #FAIRAct","FAIRAct"
"2013-06-05 ","22:58:33","SenLandrieu","#FAIRAct ensures all energy producing states receive a fair share of the revenues they help produce. Find out how: http://t.co/MCcBh5WL8Q","FAIRAct"
"2013-06-05 ","22:57:58","SenLandrieu",".@Interior's announcement of 1st offshore renewable energy lease sale is a stark reminder of an inequity for costal states #FAIRAct","FAIRAct"
"2013-03-11 ","16:32:15","SenLandrieu","Proud to be part of @stuck2013 film, premiering today in #NOLA. Tells impt story of need to fix int’l adoption. http://t.co/ylQvZ049nC","NOLA"
"2013-03-11 ","13:06:42","SenLandrieu","So proud the @CMOHfoundation chose Braithwaite #citizenheroes Jesse Shaffer III &amp; IV for the Citizen Service Before Self Honors award!","citizenheroes"
"2012-12-12 ","22:27:09","SenLandrieu","I will be discussing #Sandy recovery for small businesses w/ local leaders tomorrow. We need to get #SmallBiz moving again.","Sandy SmallBiz"
"2012-12-12 ","17:29:23","SenLandrieu","Joined a record number of women senators yesterday for an @ABCWorldNews interview w/ @DianeSawyer. Watch a preview http://t.co/wg4GCs96",
"2012-09-25 ","16:12:52","SenLandrieu","People in South #LA here today still don’t have the flood protection they need. They’re rightfully upset it, and so am I. #IsaacRecovery","LA IsaacRecovery"
"2012-09-25 ","16:00:56","SenLandrieu","In FY12, Corps only spent $6.4m 4 LA new construction. That’s unacceptable. We need flood protection &amp; wetlands restoration &amp; we need it now",
"2012-09-25 ","15:51:23","SenLandrieu","We simply cannot protect South #LA or rest of nation w/ mitigation grants alone. We need a constant, robust funding mechanism #IsaacRecovery","LA IsaacRecovery"
"2012-09-25 ","15:47:28","SenLandrieu","The federal role in disaster response cannot be the responsibility of @FEMA alone. #IsaacRecovery","IsaacRecovery"
"2012-09-25 ","15:44:16","SenLandrieu","We must do more to protect #LA communities. For every $1 taxpayers invest in mitigation, they save $4 in disaster response #IsaacRecovery","LA IsaacRecovery"
"2012-09-25 ","15:36:52","SenLandrieu","We know disasters will happen every year, but w/ smart planning &amp; effective response, we can minimize widespread damage. #IsaacRecovery","IsaacRecovery"
"2012-09-25 ","15:02:49","SenLandrieu","Hearing about to start on what worked well &amp; what needs to be improved in #Isaac response/recovery. Follow along with #IsaacRecovery","Isaac IsaacRecovery"
"2012-09-25 ","14:42:23","SenLandrieu","Watch my hearing this AM discussing the ongoing #Isaac recovery. Live streaming starts at 10 AM http://t.co/U5uNARmC","Isaac"
"2012-08-03 ","20:39:12","SenLandrieu","Photo of the Week: @SenLandrieu introduces Rep. Scalise, who led the #RESTOREAct effort in the #House. http://t.co/6Xt3DJ1C","RESTOREAct House"
"2012-07-18 ","15:21:46","SenLandrieu","Just donated clothes for needy women at #DFSchallenge Donate today ‘til 2 pm! http://t.co/Rh85WQuY http://t.co/VgNGJOml","DFSchallenge"
"2012-07-18 ","00:30:43","SenLandrieu","Looking forward to it! MT @PCIJess: A very big thank you to @SenLandrieu and @RepKayGranger for supporting Dress for Success!",
"2012-05-18 ","01:01:29","SenLandrieu","So proud of Joshua Ledet for representing LA so well on @AmericanIdol. @JLedetAI11, you have a bright career ahead &amp; support from many fans!",
