"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","15:51:23","SenWarren",".@SenateGOP has billions of reasons to defend this rotten system - but we're sick of it &amp; ready to fight. https://t.co/acTsbKkKU4",
"2016-09-21 ","15:49:43","SenWarren","If @SenateMajLdr thinks he can hold the whole government hostage to shield donors buying off politicians, think again.",
"2016-09-21 ","15:48:32","SenWarren","We know why - billions in secret dark money is flowing into our political system, to prop up @realDonaldTrump &amp; his GOP allies in Congress.",
"2016-09-21 ","15:47:31","SenWarren","But here we go again - Republicans are threatening to shut down the gov in days unless we ban disclosure of corporate political spending.",
"2016-09-21 ","15:46:46","SenWarren","Shutting down the government isn't very popular with the American people. You'd think the Republicans would've learned that by now.",
"2016-09-21 ","00:37:16","SenWarren","If you missed my questions for @WellsFargo CEO John Stumpf on his gutless leadership earlier today, take a look. https://t.co/5brb1ARRqC",
"2016-09-21 ","00:27:19","SenWarren","Tonight I'll be talking to Rachel @Maddow about today's @SenateBanking hearing with @WellsFargo CEO John Stumpf. Tune in at 9PM ET!",
"2016-07-05 ","21:11:18","SenWarren","Today @MarkWarner, @RepCummings &amp; I sent letters to derivative clearing orgs about resolution plans if they fail. https://t.co/ly5J2cZH5V",
"2015-11-25 ","21:31:10","SenWarren",".@MassAGO is doing a great job helping students getting crushed by debt. Hope other states &amp; @usedgov are watching: https://t.co/iLPv3gYfPG",
"2015-10-29 ","19:17:48","SenWarren","Bank lobbyists &amp; their Republican friends say Dodd-Frank crushes community banks. That’s just not true. https://t.co/Yvet1rVVtc",
"2015-09-29 ","21:50:43","SenWarren","Thank you, @deray. This is important.  https://t.co/oscXnqbDKy",
"2015-09-29 ","17:01:47","SenWarren","Our office joined the #PinkOut to #StandWithPP. We won't let the GOP shut down the gov to defund women's healthcare. http://t.co/lSbIZsOpAw","PinkOut StandWithPP"
"2015-07-14 ","22:36:05","SenWarren","Happy to join @RealBankReform to discuss next wk's Dodd-Frank anniversary &amp; the unfinished work of financial reform. http://t.co/bJQYA3Glmn",
"2015-07-14 ","19:59:57","SenWarren","The @US_FDA must move toward a blood donor policy based on risk, not sexual orientation. Read our letter: http://t.co/5F1rRN9Y45",
"2015-07-14 ","15:57:42","SenWarren","I look forward to reviewing the details of this Iran agreement to determine whether they are tough, verifiable, and effective.",
"2015-07-14 ","15:57:15","SenWarren",".@POTUS, @JohnKerry &amp; @ErnestMoniz deserve great credit for working with our allies to reach a negotiated solution without military action.",
"2015-07-14 ","15:56:52","SenWarren","Diplomacy is our best hope of ending the threat of a nuclear-armed Iran, far better than the alternative of escalating tensions &amp; war.",
