"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","21:00:38","SenAngusKing","ICYMI: The Senate unanimously passed a resolution this week designating Sept 25, 2016 as National Lobster Day: https://t.co/q79kwBN5g9",
"2016-07-15 ","20:15:13","SenAngusKing","The Potato Blossom Festival is in full bloom up in Aroostook County! A fantastic celebration of iconic Maine crop https://t.co/vKVrSYMezO",
"2016-07-15 ","00:29:10","SenAngusKing","Saddened by the horrific attack in Nice. My thoughts are with the people of France tonight. The United States stands with you.",
"2016-07-05 ","19:44:21","SenAngusKing","Happy 100th birthday to Maine veteran Thomas Ewing! Congrats on your milestone &amp; thank you for your service! https://t.co/DyolyJ0KZY",
"2016-06-10 ","20:06:45","SenAngusKing","A few photos from Capitol Coffee this week! https://t.co/ip56UGzK9c",
"2016-02-23 ","23:15:09","SenAngusKing","Here’s my interview on @MaineCalling earlier today about #GTMO and the #Apple encryption debate: https://t.co/kD8VaEJgKx","GTMO Apple"
"2016-02-23 ","16:30:20","SenAngusKing","I'm joining @MaineCalling around noon today to discuss #Apple encryption issue and the need to balance security and privacy #mepolitics","Apple mepolitics"
"2016-02-23 ","16:20:07","SenAngusKing","More on my visit to @MilestoneMaine treatment facility yesterday from @amanduhill @WCSH6: https://t.co/6sNjJXqGXb",
"2016-02-18 ","20:51:11","SenAngusKing","Thx members of Maine law enforcement for today’s security &amp; antiterrorism discussion @PolicePortland Dep #mepolitics https://t.co/IXnW0hNCMh","mepolitics"
"2016-02-18 ","18:05:09","SenAngusKing","My thoughts on the #SCOTUS vacancy and #Apple court case via @CNN: https://t.co/mLP1XrvmHx #mepolitics","SCOTUS Apple mepolitics"
"2016-02-18 ","18:02:20","SenAngusKing","Thanks @CNN @NewDay @ChrisCuomo for having me on today to discuss #SCOTUS vacancy and #Apple","SCOTUS Apple"
"2015-11-30 ","23:45:09","SenAngusKing","More on today’s #WOTUS farm visit &amp; roundtable at @SmilingHill with @GinaEPA from @MPBNNews: https://t.co/mWSTqGmkQK #mepolitics","WOTUS mepolitics"
"2015-11-30 ","23:25:03","SenAngusKing",".@KevinMillerPPH reports on #WOTUS event w/ @GinaEPA today: https://t.co/0H2kRsiawp  #mepolitics","WOTUS mepolitics"
"2015-11-30 ","17:31:38","SenAngusKing","I really appreciate @GinaEPA coming to @SmilingHill today &amp; listening to #WOTUS concerns from Maine farmers https://t.co/kov9iQtu45","WOTUS"
"2015-11-25 ","23:15:09","SenAngusKing","Check out UMaine’s one-of-a kind wind/wave lab in action: https://t.co/kbCXcSPMbg @UMaineNews #innovation #mepolitcs","innovation mepolitcs"
"2015-11-25 ","20:55:08","SenAngusKing","More on yesterday’s opioid roundtable at @MaineHealth from @WCSH6 @amanduhill: https://t.co/ty3x4prD2x  #mepolitics","mepolitics"
"2015-10-29 ","20:30:17","SenAngusKing","Proud to stand w/ @SenatorCollins &amp; @JerryMoran in support of rural #veterans &amp; ARCH program: https://t.co/9yIoenILkg #mepolitics","veterans mepolitics"
"2015-09-29 ","17:40:06","SenAngusKing","Sanford is taking bold &amp; visionary step w/ plan 4 open-access #broadband netwrk. More frm @darrenfishell http://t.co/edbImfO27G #mepolitics","broadband mepolitics"
"2015-07-14 ","20:40:07","SenAngusKing","Earlier today, I spoke with @ThomasARoberts on @msnbc about the #IranDeal. Watch here: http://t.co/NJlWsk2F6v","IranDeal"
"2015-07-14 ","16:40:05","SenAngusKing","HEADS UP: I’ll be joining @ThomasARoberts on @msnbc around 1PM to discuss the #IranDeal","IranDeal"
"2015-07-14 ","12:59:23","SenAngusKing","It’s time for responsible congressional review of the #IranDeal. The agreement must be enforceable &amp; verifiable. http://t.co/0lTzrZkWWl","IranDeal"
"2015-06-15 ","21:04:45","SenAngusKing","HAPPENING SOON: I’ll be joining @brikeilarcnn on @CNNSitRoom to discuss reported airstrikes in Libya",
"2015-06-15 ","19:30:13","SenAngusKing","Congrats to Lucy Jakub of Blue Hill for representing Maine as a @librarycongress Junior Fellow this summer! http://t.co/GdMleuYrQ2",
"2015-06-15 ","18:45:05","SenAngusKing","ICYMI: @StateDept has announced that Portland will host @ArcticCouncil meeting in 2016. More via @dgagnonbdn: http://t.co/8WkNOaOPuk",
"2015-06-15 ","18:25:02","SenAngusKing","Honored to join w/ Maine Troop Greeters to show Vietnam vets that we are proud of them &amp; their service #mepolitics http://t.co/3Iw2yW3msY","mepolitics"
"2015-06-09 ","20:52:06","SenAngusKing","It’s time to solve the digital divide for rural America: http://t.co/neO8cAgHDz #mepolitics","mepolitics"
"2015-06-09 ","20:22:06","SenAngusKing","Congratulations to Cara Weber of Lamoine for her @BorenAwards scholarship that will allow her to study in Israel http://t.co/BcI7KlgZQI",
"2015-06-09 ","17:59:04","SenAngusKing","June is Alzheimer’s Awareness Month. The HOPE Act can help in the fight to #EndAlzheimers: http://t.co/gotV20GJ5E","EndAlzheimers"
"2014-05-21 ","21:36:50","SenAngusKing","And thanks to Elmo, Grover and the rest of the @sesamestreet gang for all you do for military families! #USOmoments http://t.co/9vvN8fnwWO","USOmoments"
"2014-05-21 ","21:31:21","SenAngusKing","Thanks to @the_USO Service Project for letting me help assemble Warrior Care Packs today! #USOmoments http://t.co/LfeN9rCPf5","USOmoments"
"2014-04-01 ","19:37:02","SenAngusKing","In case you missed it, catch up with all that has gone on this past month in my recent e-Newsletter: http://t.co/bd9ZKEpGj8 #mepolitics","mepolitics"
"2014-02-18 ","19:01:29","SenAngusKing","Next Monday I'll continue the annual reading of Washington's farewell address on the Senate floor, tune in! http://t.co/LgA6FQRQms",
"2013-09-14 ","22:05:25","SenAngusKing","On channel 13 tonight: I discuss this morning's agreement on Syria. #mepolitics http://t.co/9GXwkD6TRi","mepolitics"
"2013-09-14 ","18:07:38","SenAngusKing","Very pleased a diplomatic solution has been reached to remove chemical weapons in Syria. Read more here: http://t.co/yHrBDobzEx #mepolitics","mepolitics"
"2013-07-24 ","22:59:17","SenAngusKing","Today’s bipartisan vote in favor of #studentloan reform is a step forward for the Senate, our students and the nation http://t.co/3pxHgoCNUN","studentloan"
"2013-07-24 ","17:42:31","SenAngusKing","Heads up, I expect to speak about #studentloans on the Senate floor today around 2PM #mepolitics","studentloans mepolitics"
"2013-07-24 ","14:53:41","SenAngusKing","Thanks to everyone who stopped by this morning's  Capitol Coffee! #mepolitics http://t.co/W7KI6Nsmlr","mepolitics"
"2013-06-05 ","15:46:39","SenAngusKing","Congratulations to Seamus Connolly for receiving a 2013 @NEAarts National Heritage Fellowship. Read More: http://t.co/fWWrhWeIDi @dailysun",
"2013-04-19 ","21:36:40","SenAngusKing","Be sure to watch my recap of this week in Washington: http://t.co/VZk4JfbacP - #bostonmarathon, #sequester, #guncontrol #mepolitics","bostonmarathon sequester guncontrol mepolitics"
"2013-04-19 ","16:07:37","SenAngusKing","Proud to meet with Maine mill workers and pledge to fight on their behalf. More: http://t.co/w79XNvW2Vq #mepolitics http://t.co/N9xxbOupqR","mepolitics"
"2016-09-21 ","18:09:47","SenatorCollins","“Congrats to South Freeport's Hugh Freund on winning silver at the #Paralympics sailing competition in Rio! You’ve made Maine proud!”","Paralympics"
"2016-09-21 ","14:32:14","SenatorCollins","HAPPENING NOW: Sen. Collins chairs hearing 'Housing Vulnerable Families &amp; Individuals: Is There a Better Way?' WATCH https://t.co/imfErV9ki2",
"2016-07-15 ","21:43:42","SenatorCollins","ICYMI: “Senate approves Susan Collins’ provisions in opioid addiction act” https://t.co/hTmFtsg144",
"2016-07-15 ","20:34:12","SenatorCollins","Sen. Collins issued this statement following declassification of 28 pages of 9/11 Joint Congressional Inquiry: https://t.co/1qWvpHW9OM",
"2016-07-15 ","19:27:50","SenatorCollins","Sen. Collins' statement on the #Nice attack: https://t.co/s87bMhHhWI","Nice"
"2016-07-15 ","01:14:03","SenatorCollins","Horrible news out of Nice. We stand with the people of France, our oldest ally.",
"2016-02-23 ","20:33:14","SenatorCollins","MEDIA ADVISORY: Sen.Collins to lead @senateaging hearing on emerging challenges of prescription opioids use https://t.co/z8x00mfJJD",
"2016-02-23 ","16:48:59","SenatorCollins","Sen.Collins at breakfast w/ @MECreditUnions discussing ME's communities &amp; small biz #mepolitics https://t.co/7N4ir2rc7T","mepolitics"
"2016-02-18 ","14:26:49","SenatorCollins","MEDIA ADVISORY: TODAY Sen. Collins to participate in @HussonU forum on small biz, aging &amp; retirement https://t.co/ZdPIHQBoy8 #mepolitics","mepolitics"
"2016-02-18 ","03:07:40","SenatorCollins","Sen.Collins unveils guide to protect Americans from scams costing seniors $2.9 billion per year #fraudwatch https://t.co/bVR6VQZnwz","fraudwatch"
"2015-10-29 ","19:41:52","SenatorCollins","Sen.Collins meets with Lt. Gen. Timothy Kadavy, Director, Army National Guard to discuss support for ME-based units https://t.co/nlpfvzp9O0",
"2015-10-29 ","17:44:07","SenatorCollins","Sen.Collins joins colleagues to lead bipartisan effort to save student loan program https://t.co/TQTJnS9tg8 #SavePerkinsNow #mepolitics","SavePerkinsNow mepolitics"
"2015-10-29 ","15:01:10","SenatorCollins","“My best wishes and congratulations to @RepPaulRyan as he undertakes the role of Speaker of the House.” –SMC @PRyan",
"2015-09-29 ","22:13:18","SenatorCollins","Sen.Collins &amp; @SenAngusKing Commend Two Maine Schools Earning National Blue Ribbon Recognition http://t.co/nRePrAn8cR #mepolitics","mepolitics"
"2015-09-29 ","21:28:21","SenatorCollins","Sen. Collins Urges Colleagues to Protect Critical Student Aid Program Set to Expire http://t.co/gCh5mjZwDJ  #mepolitics","mepolitics"
"2015-07-14 ","15:24:50","SenatorCollins","Senator Collins’ statement on the announcement of the Iran Nuclear Agreement http://t.co/YOen1LgDsd #mepolitics","mepolitics"
"2015-06-15 ","23:22:05","SenatorCollins","Sen. Collins &amp; @senangusking urge IRS to keep crucial taxpayer assistance center open in Lewiston #mepolitics http://t.co/3U473tNAG9","mepolitics"
"2015-06-09 ","14:59:03","SenatorCollins","Wishing Mrs. Bush Happy 90th Birthday! #BB90 http://t.co/KbZsqEr6h7","BB90"
"2014-10-22 ","14:18:08","SenatorCollins","""Not All Climate Pollutants Are Created Equal"" by Senators Collins and Murphy http://t.co/D5U8eiLNH3 via @rollcall #mepolitics","mepolitics"
"2014-05-21 ","15:43:33","SenatorCollins",".@TAPS4America holds its 20th Annual Military Survivor Seminar &amp; Camp For Young Survivors #TAPS14 FMI: http://t.co/CxTnEoKAPf","TAPS14"
"2014-04-01 ","20:08:13","SenatorCollins","Red Sox bring bipartisan spirit to D.C. with White House visit http://t.co/I1WO5s7bJK via @BostonGlobe",
"2014-04-01 ","16:48:13","SenatorCollins","Sen. Collins w/Orono-native, @RedSox 3rd base coach, &amp; former @UMaine player Brian Butterfield @WhiteHouse ceremony. http://t.co/V8obMbpG8N",
"2014-04-01 ","15:48:32","SenatorCollins","Sen. Collins to receive @AHLA “Champion of the Industry” Award at #LAS2014 tonight http://t.co/FbfZU6fq3v #mepolitics","LAS2014 mepolitics"
"2014-04-01 ","15:23:44","SenatorCollins","Sen. Collins is at the @WhiteHouse for a ceremony celebrating the 2013 World Series champions @RedSox!  #GoSox","GoSox"
"2014-04-01 ","15:15:50","SenatorCollins","Sen. Collins praises passage of bipartisan mental health provision. http://t.co/YygW7VcGNj #mepolitics","mepolitics"
"2014-04-01 ","11:21:08","SenatorCollins","Housing is beyond reach for many in Maine. Will Congress do something about it? http://t.co/XymRjiOAEO  via @bangordailynews",
"2014-02-18 ","21:36:00","SenatorCollins","From @bangordailynews: Collins tells BIW workers new Coast Guard contract part of ‘a very good year’ http://t.co/p7KjUddLYC  #mepolitics","mepolitics"
"2013-07-24 ","22:36:18","SenatorCollins","Sen. Collins supports bipartisan plan to lower the rate on undergraduate #studentloans","studentloans"
"2013-07-24 ","22:28:19","SenatorCollins","Congratulations to @SenOrrinHatch for casting his 13,000th vote!",
