"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","15:38:14","stabenow","I'm grateful @HillaryClinton is talking about issues that matter to Michigan families who are trying to stay afloat. https://t.co/oXkzpeSerh",
"2016-07-15 ","17:26:11","stabenow","Mike Pence has also led the charge against women’s health and their right to choose!  He’s wrong for Michigan families and the country.",
"2016-07-15 ","17:25:46","stabenow","Like Donald Trump, Mike Pence opposed raising the minimum wage, opposed the auto rescue, and supported tax cuts for the wealthy!",
"2016-06-10 ","01:11:50","stabenow","Great day! President Obama and Senator Warren give powerful endorsements of @HillaryClinton! Go Democrats!",
"2015-10-29 ","14:32:10","stabenow","Every 40 seconds, someone in America has a stroke. You owe it to yourself to know the signs --&gt; https://t.co/K3v8DaiCTE #WorldStrokeDay","WorldStrokeDay"
"2015-06-15 ","18:07:45","stabenow","College can be tough, and veterans face unique challenges. Learn how @umich is helping ease the transition: http://t.co/SFOB0hSg1i cc:@freep",
"2014-10-22 ","20:27:42","stabenow",".@PureMichigan will continue to sponsor @MISpeedway's August race! Did you know MIS draws 385,000 visitors each year? http://t.co/Fwjk301aox",
"2014-10-22 ","19:56:51","stabenow","Democrats want to #RaiseTheWage and finally guarantee #EqualPay for equal work so that we have an economy that works for everyone. #FairShot","RaiseTheWage EqualPay FairShot"
"2014-10-22 ","18:33:36","stabenow","With less than 2 weeks before the election, #Michigan families are looking to elect candidates that will give them a #FairShot to get ahead.","Michigan FairShot"
"2014-10-22 ","18:32:08","stabenow","Glad to see @billclinton this afternoon. He was a great president, and he has great taste in watches made right here in #Michigan! @Shinola","Michigan"
"2014-10-22 ","18:17:39","stabenow","Three great champions of middle-class families -- @billclinton, @Peters4Michigan, and @MarkSchauer -- all on one stage today in Flint!",
"2014-10-22 ","17:48:50","stabenow","Extremely disturbing news out of Canada. My thoughts and prayers are with the Canadian people. Stay safe.",
"2014-10-22 ","16:13:44","stabenow","Welcome to #Flint, President @billclinton. We always love having you here in the Great Lake State!","Flint"
"2014-05-21 ","21:00:16","stabenow","Great job Lakers! @GVSU named only gold #LEED certified university in Michigan.  http://t.co/wBJdHE7bTB","LEED"
"2014-05-21 ","20:30:02","stabenow","Good luck tonight, Jena Irene.  It would be great to see a Michigander win American #Idol!","Idol"
"2014-05-21 ","19:00:09","stabenow","Students deserve a #fairshot to go to college and get ahead, not debt that sets them back and hurts the economy. http://t.co/wlRaOtAWzq","fairshot"
"2014-05-21 ","17:30:06","stabenow","Congrats, @Meryl_Davis! First an Olympic gold medal, and now a 'Dancing with the Stars' win - I can't wait to see what you do next.",
"2014-05-21 ","17:00:15","stabenow","Honored to receive @OrganicTrade 2014 Public Servant Award! The 2014 #FarmBill is a big win for #organics!","FarmBill organics"
"2014-05-21 ","16:43:04","stabenow","Today’s announcement is a reflection of the great work happening every day in #Detroit! #investindetroit","Detroit investindetroit"
"2014-04-01 ","21:46:26","stabenow","I look forward to working closely with the administration as they select and implement the demonstration projects funded by this legislation",
"2014-04-01 ","21:43:16","stabenow","Big news! Pres. Obama just signed a version of my Excellence in Mental Health Act. Landmark step forward in community #mentalhealth funding.","mentalhealth"
"2014-02-18 ","03:59:04","stabenow","Congratulations @Meryl_Davis and @CharlieaWhite on winning gold! What a great performance! #Michigan #Sochi2014","Michigan Sochi2014"
"2012-12-12 ","20:24:14","stabenow","Welcome to @heidi4ND Heidi Heitkamp and Joe Donnelly, the newest members of the Senate Agriculture Committee!",
"2012-12-12 ","17:22:56","stabenow","It's 12/12/12. No better time to pass the #FarmBill - cuts the deficit, cuts subsidies. Let's get it done.","FarmBill"
"2012-09-25 ","19:06:46","stabenow","Great event today at Ford Field with @Nate13Burleson and @ReidDairyFarm to urge kids to #FuelUptoPlay60! http://t.co/bfovnekB","FuelUptoPlay60"
"2012-09-25 ","17:31:12","stabenow","Good luck to Whitney Kropp this Friday! Heard your story - think you're awesome! #teamwhitney","teamwhitney"
"2012-07-18 ","22:05:25","stabenow","We have companies that want to invest in America. The tax code shouldn’t stand in their way! #BringJobsHome","BringJobsHome"
"2012-07-18 ","22:04:47","stabenow","[Picture] Pass the #BringJobsHomeAct. Please RT and Sign  http://t.co/BiuTTFS0","BringJobsHomeAct"
"2012-07-18 ","21:01:16","stabenow","The #BringJobsHome Act is common sense and good economic sense. When we grow things here and make things here, we keep the jobs here.","BringJobsHome"
"2012-07-18 ","19:46:28","stabenow","Senate is voting tomorrow on #BringJobsHome. This isn’t about Democrats and Republicans, it’s about common sense.","BringJobsHome"
"2012-07-18 ","18:05:33","stabenow","Did you know that your taxes pay to help companies ship jobs overseas? We need to #BringJobsHome.","BringJobsHome"
"2012-07-18 ","16:41:46","stabenow","Instead of rewarding companies for shipping jobs overseas, we want to reward companies for bringing jobs home. #BringJobsHome","BringJobsHome"
"2012-07-18 ","14:01:26","stabenow","The #BringJobsHome Act cuts taxes for companies that bring jobs back to the USA. Help it pass: http://t.co/vbaHhIKY","BringJobsHome"
"2012-07-18 ","13:05:31","stabenow","2.4 million jobs were outsourced in the last decade - and you helped pay for it! Click here http://t.co/Bhshqmd7 to help #BringJobsHome","BringJobsHome"
"2012-07-18 ","01:00:45","stabenow","Companies shipped 2.4 million American jobs overseas. And you helped pay for it! Let’s #BringJobsHome http://t.co/yogAYByE","BringJobsHome"
"2012-02-19 ","15:03:46","stabenow","My son went to U of M.  My daughter-in-law went to Ohio State.   Go Blue!  Sorry Sara!",
"2011-10-10 ","21:22:50","stabenow","RT @flintjournal: U.S. Sen. Debbie Stabenow comes to Genesee Regional Chamber of Commerce to tout trade-fairness plan http://t.co/3Ngym9JY",
"2016-02-23 ","22:54:30","SenCarlLevin","Our bill for transparency in corp. ownership, strongly supported by law enforcement, gaining support at state level. https://t.co/V4XUhpQhuW",
"2015-11-30 ","15:35:40","SenCarlLevin","Tax havens have been stealing our tax money for too long, costing the U.S. hundreds of billions of dollars. Congress should support #BEPS.","BEPS"
"2015-11-25 ","17:10:54","SenCarlLevin","Grateful for many who supported my transition from Senate to private life. And thank you for supporting launch of Levin Center @_WayneLaw.",
