"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","20:04:28","SenatorWicker","Proud to recognize @PinelakeChurch as 2016 Angel in Adoption for its leadership in adoption &amp; foster care within MS: https://t.co/4McVljxhpo https://t.co/Fs4TnnYgTu",
"2016-09-21 ","19:53:27","SenatorWicker","Great news for central MS! #Jackson airport gets $3.8M FAA grant for critical improvements to runway &amp; lighting: https://t.co/BV9ut4CMki","Jackson"
"2016-09-21 ","18:02:39","SenatorWicker","MS &amp; 20 other states sued fed govt to block @USDOL’s Overtime Rule: https://t.co/rPST3yXE8n - #WickerReport on Rule: https://t.co/3tRhoQW88E","WickerReport"
"2016-09-21 ","17:41:03","SenatorWicker","Today is #WorldAlzheimersDay. #EUREKA unleashes the power of prizes to stop this devastating disease. Together we can find a cure. #EndAlz https://t.co/GuiFI3mlCZ","WorldAlzheimersDay EUREKA EndAlz"
"2016-07-15 ","18:11:23","SenatorWicker","Appreciate @LindseyGrahamSC supporting my #EUREKA bill as my 60th cosponsor! Let's work together to find a cure for Alzheimer's. #EndAlz","EUREKA EndAlz"
"2016-07-15 ","17:22:50","SenatorWicker","Glad to be working w/ @SenJoniErnst on my #EUREKA legislation to find a cure for Alzheimer’s. With a prize, we pay only for success. #EndAlz","EUREKA EndAlz"
"2016-02-23 ","21:44:12","SenatorWicker","Joined @SenateMajLdr, @JimInhofe, &amp; 202 other Members in filing amicus brief to overturn EPA’s costly, unattainable #CleanPowerPlan.","CleanPowerPlan"
"2016-02-23 ","20:18:46","SenatorWicker","POTUS’s misguided #GTMO plan cld endanger Americans &amp; have serious implications on our natl security strategy: https://t.co/DOgU53TJJ1","GTMO"
"2016-02-23 ","16:43:13","SenatorWicker","My deepest sympathies are with Agent Lee Tartt's family today. https://t.co/zklAUiB2hB",
"2016-02-18 ","20:49:37","SenatorWicker","Enjoyed meeting @RCMHSEagles cheerldrs during today's rail event. Thanks for cheering us on! 🚂 #YallAboard #OneCoast https://t.co/jQMaXGkhQh","YallAboard OneCoast"
"2016-02-18 ","19:07:56","SenatorWicker","Heading into #Pascagoula! @Amtrak #OneCoast #YallAboard https://t.co/J4s7cCChVv","Pascagoula OneCoast YallAboard"
"2016-02-18 ","17:59:20","SenatorWicker","We have made it to #Biloxi! With @USDOTFRA Administrator @FeinbergSarah. @Amtrak #OneCoast #YallAboard #GulfCoast https://t.co/QSKSlByQRw","Biloxi OneCoast YallAboard GulfCoast"
"2016-02-18 ","17:29:21","SenatorWicker","This represents another step in our continued effort to recover from Katrina! #yallaboard #Gulfport #OneCoast https://t.co/FGPXtZWCqg","yallaboard Gulfport OneCoast"
"2016-02-18 ","17:27:25","SenatorWicker","Let's work to make passenger #rail a reality for the #GulfCoast! @Amtrak #yallaboard #BayStLouis https://t.co/mtgcfwVPmV","rail GulfCoast yallaboard BayStLouis"
"2016-02-18 ","15:24:48","SenatorWicker","And we're off! Riding the @Amtrak #GulfCoast inspection train. Next stop: Bay St. Louis #yallaboard https://t.co/I640F21oti","GulfCoast yallaboard"
"2015-11-30 ","22:18:22","SenatorWicker","Good news! The House just passed my #RuralWater bill. It's now headed to @POTUS’s desk to be signed. #S611","RuralWater S611"
"2015-11-30 ","20:07:29","SenatorWicker","View from the center of the dome in the Mississippi State Capitol building in #Jackson. #MississippiMonday https://t.co/S7rYiymye8","Jackson MississippiMonday"
"2015-11-30 ","19:50:26","SenatorWicker","In this week’s #WickerReport: @POTUS’s #climate promises would have minimal enviro impact, GDP could lose $154B: https://t.co/Zon4jbdCoi","WickerReport climate"
"2015-10-29 ","21:07:30","SenatorWicker","Thanks to @SenJeffMerkley, a quarter of the U.S. #Senate has now cosponsored my #EUREKA bill! #EndAlz","Senate EUREKA EndAlz"
"2015-10-29 ","16:11:36","SenatorWicker","My #RuralWater Bill was passed by #SubEnvEcon. Proposal would help small communities supply safe drinking water: https://t.co/z2SyzayHDz","RuralWater SubEnvEcon"
"2015-09-29 ","21:10:22","SenatorWicker","Honored to receive the @AmericanCancer Society’s Advocacy Award. Impt that screenings remain affordable for seniors: http://t.co/KINWu8nVZb",
"2015-09-29 ","20:58:24","SenatorWicker","The cost of power is going to explode under @POTUS’s #CleanPowerPlan regs. Questioned @EPA’s Janet McCabe this AM: http://t.co/KINWu8nVZb","CleanPowerPlan"
"2015-09-29 ","16:31:25","SenatorWicker","Congrats to #Jackson’s Casey Elementary School for being recognized as a 2015 @NatlBlueRibbon School! http://t.co/5pshqF5Xhh #education","Jackson education"
"2015-07-14 ","19:17:56","SenatorWicker","It’s time to consider new innovative ways to help find &amp; fund a cure for #Alzheimer’s: http://t.co/oO5tq0Nh9d #EUREKA #EndALZ","Alzheimer EUREKA EndALZ"
"2015-07-14 ","15:04:46","SenatorWicker","Skeptical that the Iranian regime will live up to its obligations in the #IranDeal. Ready to review the agreement: http://t.co/aaHNuZFJT6","IranDeal"
"2015-07-14 ","13:11:17","SenatorWicker","ICYMI: Spoke on the Senate floor last night w/ @SenatorShaheen ab the 20-yr anniversary of the #Srebrenica massacre: http://t.co/gTWdVtL7Wm","Srebrenica"
"2015-06-15 ","18:54:41","SenatorWicker","Congrats to my hometown, #Tupelo, for receiving its 5th @AllAmericaCity Award. A well-deserved honor! http://t.co/fSEqhuGhFZ #AAC15","Tupelo AAC15"
"2015-06-15 ","15:25:25","SenatorWicker","In this week’s #WickerReport: Our troops deserve a #defense bill that presents real solutions to current challenges: http://t.co/2DH3ypevxW","WickerReport defense"
"2015-06-09 ","22:50:44","SenatorWicker","Excited to welcome Rep. Trent Kelly to MS’s congressional delegation. Confident that he’ll be a great Rep for #MS01: http://t.co/5WwKiV8RR4","MS01"
"2015-06-09 ","20:34:46","SenatorWicker","I am speaking on the @SenateFloor now about #NDAA. Watch here: http://t.co/rWm2IZMPKA.","NDAA"
"2015-06-09 ","20:01:34","SenatorWicker","Despite #Obamacare’s goal of providing affordable health-care, insurance premiums are rising: http://t.co/HjqzZETJYJ","Obamacare"
"2015-06-09 ","19:03:04","SenatorWicker","#Obamacare has been problematic from the start, with higher costs, lower quality, and people losing their coverage.","Obamacare"
"2015-06-09 ","17:09:17","SenatorWicker","Would take more than a “one-sentence provision” to fix #Obamacare. Needs to be replaced. http://t.co/xrLdHM0Tte","Obamacare"
"2015-06-09 ","16:24:55","SenatorWicker","#Obamacare is broken. Americans deserve a market-driven health-care system that puts patients first.","Obamacare"
"2015-06-09 ","16:20:44","SenatorWicker","#Obamacare rates are set to skyrocket, with the average premiums in MS hiking 24.7% for 2016: http://t.co/Hl5X4vNIHH","Obamacare"
"2015-06-09 ","16:13:29","SenatorWicker","Americans are being forced to pay higher premiums as a result of #Obamacare: http://t.co/Lek2ni3K7I","Obamacare"
"2015-06-09 ","16:05:56","SenatorWicker","Hospitals are struggling to provide high-quality care due to Obamacare cuts, rising costs: http://t.co/HjqzZETJYJ",
"2015-06-09 ","15:59:08","SenatorWicker","Americans do not want a one-size-fits-all approach to #healthcare. 54% of Americans oppose #Obamacare: http://t.co/mUlgMg344Y","healthcare Obamacare"
"2014-05-21 ","22:05:10","SenatorWicker","This bill that would enhance Mississippi’s vast waterway infrastructure and improve storm protection projects: http://t.co/wMl8yK5z9f #WRDA","WRDA"
"2014-05-21 ","21:01:56","SenatorWicker","On the @SenateFloor right now talking about how the #WRDA bill would benefit #Mississippi. Watch here: http://t.co/ePcJjAtjA6","WRDA Mississippi"
"2014-05-21 ","17:55:21","SenatorWicker","ER visits rise under #Obamacare. Yet another failure of this disastrous law: http://t.co/gkiXUxSRfM See my record: http://t.co/ZDxnOq39wE","Obamacare"
