"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","15:44:59","SenThomTillis","Join my live Facebook Q&amp;A TODAY at 12pm ET -- https://t.co/q8LXkfWOEZ",
"2016-09-21 ","14:54:48","SenThomTillis","As a #Charlotte area resident, it's my hope that the violence and unrest will come to a peaceful end and the city will come together as one. https://t.co/mDKKOfxfpE","Charlotte"
"2016-09-21 ","01:00:17","SenThomTillis","Join my office and @WakeForest Army ROTC on Saturday for our annual Academy Day. More info: https://t.co/R8PYIoFji7 https://t.co/9es8aFk0k5",
"2016-07-15 ","17:21:01","SenThomTillis","#BacktheBlue Act would increase penalties against violent criminals who target #police: https://t.co/FrG3J7tGMB https://t.co/MMYMS86Z1C","BacktheBlue police"
"2016-07-15 ","15:56:38","SenThomTillis","Kevin and Avonte’s Law helps families reunite with loved ones who are prone to wander: https://t.co/DxR9b2VUxr. https://t.co/UypEHfztJK",
"2016-07-15 ","02:13:13","SenThomTillis","My full statement on the horrific #BastilleDay terrorist attack in Nice, France. #PrayForNice https://t.co/jOwHGizsLO","BastilleDay PrayForNice"
"2016-07-05 ","20:28:37","SenThomTillis","Thank you for your #service and commitment to your fellow #Marines, Gunnery Sgt. Brian Downing. #CampLejeune https://t.co/3xeMfJnubb","service Marines CampLejeune"
"2016-07-05 ","19:35:52","SenThomTillis","After one of the busiest travel weekends of the year, let me know your experience with @TSA. #TSAgood #TSAbad https://t.co/aUqkyz2J7Q","TSAgood TSAbad"
"2016-07-05 ","18:12:17","SenThomTillis","My statement on the @FBI announcement on Secretary Clinton’s use of private email servers: https://t.co/OjMdi8oReI. https://t.co/Mon4NMUdSO",
"2016-06-10 ","20:56:43","SenThomTillis","One of my provisions to #NDAA improves health outcomes for TRICARE beneficiaries (servicemembers &amp; their families).
https://t.co/zPgPBzleqf","NDAA"
"2016-06-10 ","15:26:39","SenThomTillis","As a caregiver to a loved one who battled Alzheimer's Disease, I will continue to fight to #EndAlzheimers. #ENDALZ
https://t.co/SUqtV2Aloq","EndAlzheimers ENDALZ"
"2016-02-23 ","21:20:02","SenThomTillis","In 1945, U.S. Marines raised the American flag on Iwo Jima. #IwoJima #USMC  https://t.co/YW1bB91Tdp","IwoJima USMC"
"2016-02-23 ","17:07:46","SenThomTillis","The Obama admin's transfer of terrorists from #Gitmo to other countries has proven to be an unmitigated disaster. https://t.co/mPvoM2ncRJ","Gitmo"
"2016-02-23 ","16:30:27","SenThomTillis","My op-ed in @theobserver on the epidemic of opioid addiction https://t.co/YMdCLKJNkt https://t.co/xdinuz8tUV",
"2016-02-18 ","19:17:43","SenThomTillis","My visit @BelmontCentral to discuss school nutrition and giving schools flexibility in what they serve. via @wcnc https://t.co/gV5I8dVAUU",
"2016-02-18 ","16:47:23","SenThomTillis","The first African American U.S. Senator was born in NC, and served as a U.S. Senator for MS. #BlackHistoryMonth https://t.co/Lcmeehs9qZ","BlackHistoryMonth"
"2015-11-30 ","20:56:46","SenThomTillis","Happy Birthday, @SenatorBurr! #NorthCarolina https://t.co/otyUc9hN7q","NorthCarolina"
"2015-11-30 ","20:51:38","SenThomTillis","This week, I will vote to #RepealObamacare and prevent $1 trillion in new taxes over the next decade.","RepealObamacare"
"2015-11-30 ","18:34:20","SenThomTillis","Five groups that could determine the fate of TPP https://t.co/Zdpr4jPDoC via @thehill @VickoftheHill",
"2015-11-30 ","17:22:57","SenThomTillis","Obama signs bill requiring Army input on 440th decision https://t.co/ZnYjXmj79c via @fayobserver",
"2015-11-25 ","14:31:20","SenThomTillis","Tillis questions #AirForce gag order allegations at #FortBragg https://t.co/CGcCxP3nsl via @fayobserver","AirForce FortBragg"
"2015-10-29 ","20:13:42","SenThomTillis",".@AuroraFossilMus Congratulations on your @BestTimeEver shoutout! Keep up the good work #Megalodon #NC","Megalodon NC"
"2015-10-29 ","17:43:27","SenThomTillis","New squadron at Seymour Johnson reaffirms fact that America’s military doesn't move unless NC goes first. https://t.co/cjadDhEdP6 #ncpol","ncpol"
"2015-09-29 ","20:39:33","SenThomTillis","The NDAA includes my amendment to help protect the 440th Airlift Wing at Ft. Bragg: http://t.co/rryymwcEhB #ncpol","ncpol"
"2015-07-14 ","21:59:09","SenThomTillis","@LuLuPavlu @NCCEC @CECAdvocacy I agree! Thanks for visiting!",
"2015-07-14 ","20:27:53","SenThomTillis","@HeatherHahn_ANC Thanks for coming by!",
"2015-07-14 ","16:53:03","SenThomTillis","My full statement on the Obama administration's bad deal with Iran: http://t.co/okc8pvpnYs #ncpol","ncpol"
"2015-07-14 ","15:20:06","SenThomTillis","Democrats &amp; Republicans share grave concerns over the bad #IranDeal &amp; Congress has a responsibility to do everything it can to stop it.","IranDeal"
"2015-07-14 ","15:12:01","SenThomTillis","The lasting legacy of the #IranDeal will be the birth of a nuclear arms race, plunging the Middle East into further chaos.","IranDeal"
"2015-07-14 ","15:05:08","SenThomTillis","List of concessions to Iran include: no snap inspections, no resolution of weaponization activities, no dismantling of Iran terror network.",
"2015-07-14 ","14:58:03","SenThomTillis","The President turned his back on decades of assurances from previous administrations that Iran would not acquire nuclear weapons.",
"2015-07-14 ","14:53:14","SenThomTillis","President Obama has staked his legacy on reaching a deal w/ Iran w/o any regard for how dangerous the final accord is for the world.",
"2015-06-15 ","16:26:55","SenThomTillis",".@asheville C-T: Tillis, VA secretary working on agency problems. http://t.co/19G4FMmjNa #ncpol #ncsen","ncpol ncsen"
"2015-06-09 ","21:26:17","SenThomTillis","Congrats to coach Braylon Beam, the newest member of the @Panthers family! http://t.co/ad9GkSnD45  #KeepPounding #JustKeepDancing","KeepPounding JustKeepDancing"
"2015-06-09 ","14:40:05","SenThomTillis","We must pass the #NDAA to support our troops and military.","NDAA"
"2014-10-22 ","23:14:11","kayhagan","Kay talked about her strong record for NC seniors at Wilber's BBQ in Goldsboro yesterday. WATCH: http://t.co/gHrERxdwgL #NCSen #NCFirst","NCSen NCFirst"
