"Date","Time","screen_name","text","hashtags"
"2013-04-19 ","16:19:23","FrankLautenberg","The @nytimes is right: #TSCA is a ""toothless law on toxic chemicals."" Time to pass my #SafeChemicalsAct: http://t.co/Kc1mrjE5CJ","TSCA SafeChemicalsAct"
"2013-03-11 ","21:21:39","FrankLautenberg",".@Interior named Paterson's Hinchliffe Stadium a National Historic Landmark—a great victory for the Silk City: http://t.co/ATe74LRMxy",
"2012-12-12 ","21:49:39","FrankLautenberg","More and more #GOP voices are joining Democrats in favor of raising taxes on the very wealthy to protect #My2K for the middle-class.","GOP My2K"
"2012-12-12 ","17:08:41","FrankLautenberg","Staff hosting seminar on fed disaster assistance for rural #NJ residents &amp; businesses: 7PM tonight in Bordentown http://t.co/fUdnrDfU","NJ"
"2012-09-25 ","19:58:13","FrankLautenberg","Today is Nat'l Voter Registration Day.  Make sure your voice is heard, register to vote in #NJ. http://t.co/VMLIGD2P #925NVRD","NJ 925NVRD"
"2012-07-18 ","20:43:14","FrankLautenberg","Pleased to meet Col John Wood &amp; Col Joseph Whitlock who lead the 87th Air Base Wing at @jointbasemdl in #NJ. http://t.co/k9AuHlk2","NJ"
"2012-05-18 ","19:39:09","FrankLautenberg","Met @AngelaKinsey &amp; @Oceana this week to discuss efforts to protect consumers from public health risks of seafood fraud http://t.co/p0pECwRh",
"2012-05-18 ","15:09:46","FrankLautenberg","Partnered w @MarcoRubio to intro bill that protects military retirees from unfair #TRICARE health insurance fee hikes http://t.co/151fZe0b","TRICARE"
"2012-05-18 ","13:40:48","FrankLautenberg","Happy #ESDay! Co-sponsored Senate Endangered Species Day resolution and will keep fighting to protect wildlife and open space.","ESDay"
"2011-01-13 ","21:35:50","FrankLautenberg","On @edshow, Lautenberg says high-capacity gun magazines ""are no good for anything but murder."" Watch interview here: http://t.co/wFNkd97",
"2011-01-12 ","23:14:30","FrankLautenberg","On CNN, Lautenberg says he is working to protect innocent people and ban high-capacity gun magazines. Watch clip: http://t.co/mfFC8Dq",
"2011-01-12 ","22:12:17","FrankLautenberg","Lautenberg on @edshow at 6:15pm to continue the discussion about the dangers that high-capacity gun magazines pose to our communities #MSNBC","MSNBC"
"2011-01-12 ","20:19:13","FrankLautenberg","Tune in to #CNN at 4:10 pm to watch Lautenberg talk w/ @BrookeBCNN about importance of taking high-capacity gun magazines off the market.","CNN"
"2011-01-12 ","19:49:54","FrankLautenberg","Read Sen. Lautenberg's op-ed on @CNN: ""Ban high-capacity gun magazines like one used in Tucson"" http://on.cnn.com/eK43hv",
"2011-01-11 ","15:39:19","FrankLautenberg","Watch Lautenberg on #MSNBC w/ @ContessaBrewer btw 12:05-12:20 pm to discuss ban on high-capacity gun clips like one used in #Azshooting","MSNBC Azshooting"
"2011-01-10 ","20:33:15","FrankLautenberg","Sen. Lautenberg is working on legislation to ban high-capacity gun clips like the one used in #AZshooting. http://bit.ly/h1xyvx","AZshooting"
"2011-01-08 ","21:16:41","FrankLautenberg","Lautenberg: We are all shocked and saddened by the shooting of Rep. Gabrielle Giffords and other innocent people today. http://bit.ly/e8C9Xt",
"2011-01-07 ","21:09:09","FrankLautenberg","On day one of reckless GOP healthcare repeal effort, Lautenberg vows to protect coverage for young adults. http://bit.ly/hHUwh7",
"2011-01-06 ","15:14:19","FrankLautenberg","Watch Sen. Lautenberg's speech on his 'Mr. Smith Bill' to require that filibustering senators actually debate: http://t.co/ulBerNk",
