"Date","Time","screen_name","text","hashtags"
"2009-11-27 ","14:31:05","SenArlenSpecter","The Patriot-News Ed Board endorses key elements of health care reform, including the public option: http://bit.ly/86aPzS",
"2009-11-03 ","17:34:52","SenArlenSpecter","PA AFL-CIO President Bill George, Sen. Casey and I rally for Jack Panella and the Democratic Ticket in NEPA. Video: http://bit.ly/pjzxk",
"2009-11-03 ","16:10:34","SenArlenSpecter","RT to 3 friends @DsonCollegeDems @ShipCollegeDems @PSUCollegeDems remember to vote Democrat Nov. 3rd http://bit.ly/1Es6af #3forNov3","3forNov3"
"2009-11-03 ","16:06:47","SenArlenSpecter","Remember to vote today - support Judge Jack Panella and the entire Democratic ticket.",
"2009-11-03 ","04:28:03","SenArlenSpecter","Great work Phillies - two wins down, two to go.",
"2016-09-21 ","17:52:10","SenToomey",".@POTUS’s war on coal has put health care benefits at risk for thousands of Pennsylvania miners. https://t.co/Mmy4rDEMF5",
"2016-09-21 ","16:48:14","SenToomey","The American people deserve answers on the $1.7 billion cash payments to Iran. https://t.co/BKSzSwEMH1",
"2016-07-15 ","01:56:42","SenToomey","Sen. Toomey Releases Statement on Terrorist Attack in #NiceFrance https://t.co/GvJoPh8qvM","NiceFrance"
"2016-02-23 ","17:59:58","SenToomey","I oppose the @WhiteHouse’s plan to now lift this ban and unnecessarily compromise our security. #Gitmo","Gitmo"
"2016-02-23 ","17:59:18","SenToomey","The fact is @POTUS has signed multiple bills prohibiting the transfer of dangerous terrorists to U.S. soil. #Gitmo","Gitmo"
"2016-02-23 ","17:58:57","SenToomey","8 years later @POTUS is trying to make good on an ill-conceived campaign promise in spite of bipartisan opposition. #Gitmo","Gitmo"
"2016-02-23 ","14:24:01","SenToomey","Great meeting this morning with representatives from the Pennsylvania @AmericanLegion! https://t.co/WctNIYTDP2",
"2015-10-29 ","19:55:27","SenToomey","Happy #NationalCatDay! Here are a few cats that have found loving homes with members of my staff. https://t.co/z00i8qolLq","NationalCatDay"
"2015-10-29 ","19:43:39","SenToomey","This #budgetdeal fails to address our overspending problem. In fact, it makes the problem worse by increasing spending.","budgetdeal"
"2015-10-29 ","15:40:27","SenToomey","Under Pres. Obama, the fed government has racked up over $8 trillion in new debt – an astonishing, record-breaking amount by any measure.",
"2015-10-29 ","14:03:17","SenToomey","This #budget deal fails to address our overspending problem. Read my full statement here: https://t.co/yTDBA6OEk1","budget"
"2015-09-29 ","13:58:14","SenToomey","The Thin Blue Line Act will impose harsher penalties on those targeting police officers. http://t.co/ixiCFekI1x http://t.co/cv1Lq402Zg",
"2015-07-14 ","20:43:38","SenToomey","When Egypt, Saudi Arabia, and Israel all agree on something, there's probably a lot of truth to it. #Iran
https://t.co/URkcu16zvh","Iran"
"2015-07-14 ","20:33:50","SenToomey","Great meeting with @nflcommish Roger Goodell to discuss player safety at all levels of the game. @NFL http://t.co/jAfQZ6Qohx",
"2015-07-14 ","13:45:16","SenToomey","…for terrorism while ushering in a nuclear arms race throughout the Middle East. 3/3",
"2015-07-14 ","13:45:04","SenToomey","I have deep concerns that this deal will provide hundreds of billions of dollars to an untrustworthy Iranian regime’s support…2/3",
"2015-07-14 ","13:44:54","SenToomey","I look forward to closely examining this nuclear agreement during the upcoming 60 day Congressional review period.  1/3",
"2015-06-15 ","19:43:16","SenToomey",".@phillymag isn't it sweet?!",
"2015-06-09 ","19:16:36","SenToomey","I held a field hearing yesterday to discuss ways we can ensure the Crime Victims Fund is being used as intended. http://t.co/9fWst8D8zL",
"2014-10-22 ","14:51:56","SenToomey","Great to be at @saintjosephs in Philly to talk about their new program to help #vets start their own business. http://t.co/3KePasvtYm","vets"
"2014-10-22 ","14:17:44","SenToomey","I was in Erie yesterday to listen to people on the front lines who are battling poverty, homelessness, and crime. http://t.co/bllf8CjD3I",
"2014-05-21 ","19:32:13","SenToomey","Imani &amp; Phil, from my Philly office, w/ vets advocate Joe Eastman at the 3rd Annual #Veterans Fair at City Hall today http://t.co/TV3SR3zBo0","Veterans"
"2014-05-21 ","16:18:30","SenToomey","Just sent a letter demanding #China's government take immediate action to thwart #hacking and espionage activities: http://t.co/2EGuSgLPb5","China hacking"
"2014-05-21 ","15:08:06","SenToomey","Senate just passed a reso honoring Doolittle’s Tokyo Raiders. This interview with one of the pilots is worth a watch: http://t.co/lCHRaMhauV",
"2014-05-21 ","14:32:52","SenToomey","Nice! The Senate unanimously passed the resolution I cosponsored to honor WWII's #MonumentsMen: http://t.co/sXL3qPb7Zd @conservators","MonumentsMen"
"2014-04-01 ","19:48:11","SenToomey","If you like your healthcare plan, you can keep it … #AprilFools #Obamacare","AprilFools Obamacare"
"2014-02-18 ","19:20:27","SenToomey","RT @BeschlossDC: Here World War II landings on Iwo Jima, which started this week 1945:  #NARA http://t.co/8MRvKIef3E","NARA"
"2014-02-18 ","15:36:44","SenToomey","Barack Obama in 2008: We need to end abuse of executive orders! Barack Obama in 2014: I've got a phone and a pen! http://t.co/DDnM1MRMPI",
"2013-07-24 ","21:11:36","SenToomey","WW2 vet Doris Merrill wins at Natl Vets Wheelchair Games http://t.co/Fgnz6xg7Tb If her photo doesn't make you smile...http://t.co/bNP13vVXTM",
"2013-07-24 ","16:32:41","SenToomey","Scranton's @WTForktruck to compete for $25K on @KellyandMichael w/ their pulled-pork tacos &amp; Sriracha slaw http://t.co/ImTIphLiDs Good luck!",
"2013-07-24 ","16:18:20","SenToomey",".@WhiteCastle is just one of many businesses that will have to trim hours because of #ObamaCare #trainwreck: http://t.co/fSIMFhjHVW","ObamaCare trainwreck"
"2013-07-24 ","15:09:42","SenToomey","Good game @SenBobCasey &amp; Scrantonicity! Wait til next year. Hit it Toomey leads series 2-1 http://t.co/JuH6xyZHnV",
"2013-06-05 ","21:46:17","SenToomey","For more on a fed court's temp restraining order of the Under 12 Rule for #SarahMurnaghan my KDKA interview is here: http://t.co/qDYjxnqYqo","SarahMurnaghan"
"2013-06-05 ","21:16:20","SenToomey","A federal court has issued a temp restraining order of the under 12 policy to help #SaveSarah Finally some good news http://t.co/dE5Xw4YD5d","SaveSarah"
"2013-06-05 ","20:28:07","SenToomey","Going on with Pittsburgh's @BillyRayKDKA in a few to discuss #SarahMurnaghan. Listen live here: http://t.co/PBOcN3DDZH","SarahMurnaghan"
"2013-06-05 ","16:27:40","SenToomey","Hoping/praying all are safe in Center City #Philadelphia  building collapse.  Thanks to first responders.","Philadelphia"
"2013-06-05 ","15:32:11","SenToomey","ICYMI @todayshow highlighted the life or death struggle of 10-year-old #SarahMurnaghan http://t.co/J1szuPZfIr Pls ask @Sebelius to intervene","SarahMurnaghan"
"2013-06-05 ","13:11:35","SenToomey","This is leadership: http://t.co/NrAz36BSUI Ike's failure letter on the eve of D-Day, mistakenly dated ""July 5."" Any fault ""is mine alone.""",
"2013-04-19 ","15:31:34","SenToomey","Appreciate efforts of law enforcement and 1st responders in #boston, #watertown. Please stay safe.","boston watertown"
"2013-03-11 ","21:58:56","SenToomey","My staff &amp; I are glad to help PA's families w/ concerns http://t.co/TjWgqPY6zF Be sure to check your local paper for a casework day near you",
"2013-03-11 ","17:25:03","SenToomey","Disappointed: SecDef Hagel says drone medals will remain ranked above some combat valor medals like the Bronze Star http://t.co/VHUQH1mIPO",
"2013-03-11 ","12:41:36","SenToomey","Good morning Pennsylvania. Tune in to Bobby Gunther Walsh on WAEB in five to hear my update from Washington http://t.co/j9Gw1RVySR",
