"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","21:48:43","SenJackReed","Thanks to Colleen &amp; Laurie for your work w/ children at @HasbroChildrens &amp; congrats on being @CCAInstitute #AdoptionAngels. https://t.co/BQHkLyfXtf","AdoptionAngels"
"2016-07-15 ","16:04:05","SenJackReed","The #NiceAttack was indiscriminate slaughter. Driver was a disturbed coward who murdered innocent people of many faiths &amp; nationalities.","NiceAttack"
"2016-07-15 ","15:51:12","SenJackReed","Saddened someone did this, but heartened so many RIers are speaking out &amp; strongly supporting our Muslim community. https://t.co/zIGVuZQ1tU",
"2016-07-15 ","03:09:25","SenJackReed","I join all RIers and all Americans in condemning the cowardly terrorist attack in Nice &amp; standing w/ the French people.",
"2016-07-05 ","22:02:15","SenJackReed","“Health Check: Importance of skin cancer screening” via @NBC10_Barbara @NBC_10: https://t.co/D6AqqhYOiZ #skincancer #sunscreen","skincancer sunscreen"
"2016-07-05 ","20:09:27","SenJackReed","Enjoyed meeting with #SmallBiz owners &amp; town leaders in #Westerly today to discuss economic development. https://t.co/JuZReyIM5w","SmallBiz Westerly"
"2016-06-10 ","22:27:09","SenJackReed","RT @GaspeeDay
Make sure you don't miss any of the Gaspee Days fun! Go to https://t.co/whSReOGUHq for details #Gaspee","Gaspee"
"2016-02-23 ","22:02:34","SenJackReed","Great to see RI members of @AmericanLegion &amp; @ALANatlHQ in Washington to discuss support for our #veterans: https://t.co/hKr0eYYe31","veterans"
"2016-02-23 ","20:05:36","SenJackReed","Wishing my friend @clairecmc the very best in her fight against breast cancer. Stay strong &amp; get well soon! https://t.co/jcRGmTKSgh",
"2016-02-23 ","17:30:10","SenJackReed","Met with RI #veterans w/ @DAVHQ to discuss our shared work to ensure vets have the care they earned #KeepThePromise https://t.co/3LRyeZ6sx2","veterans KeepThePromise"
"2016-02-23 ","16:40:37","SenJackReed","Responsibly &amp; safely closing #GITMO is the right thing to do. Congress must carefully review DOD's plan: https://t.co/ACwCVNxoHc","GITMO"
"2016-02-18 ","21:34:28","SenJackReed","Feb. is #HeartMonth &amp; to combat #CVD, it's critical we improve healthcare quality &amp; invest in @NIH @CDCgov research. https://t.co/tOTXACyNsL","HeartMonth CVD"
"2015-11-30 ","19:48:21","SenJackReed","Cooperation, coordination &amp; action are key to addressing global #climatechange. U.S. must lead by example. #COP21.","climatechange COP21"
"2015-11-25 ","20:14:31","SenJackReed","Joined @TimWhiteRI @TedNesi for a taping of @wpri12’s Newsmakers. https://t.co/Feq9zl9NHl",
"2015-10-29 ","22:17:13","SenJackReed","Since 1958, #PerkinsLoans have helped low-income students access #HigherEd. We must renew this prgrm #SavePerkinsNow https://t.co/xCIINHsqN9","PerkinsLoans HigherEd SavePerkinsNow"
"2015-10-29 ","16:50:33","SenJackReed","Great to see @SalveRegina student fellows &amp; future leaders from the @PellCenter Nuala Pell Leadership Program in DC: https://t.co/tG18MN1eEK",
"2015-10-29 ","15:08:06","SenJackReed","Effects of #climatechange are impacting biz &amp; the SEC should rigorously enforce disclosure regulations. Read letter: https://t.co/et6Z5DhkJQ","climatechange"
"2015-09-29 ","20:43:50","SenJackReed","Study by @nebhe finds @collegecrusade has great impact on RI students-but #sequestration may threaten future funding http://t.co/kPecm0jp8W","sequestration"
"2015-09-29 ","20:16:34","SenJackReed",".@collegecrusade Proud to support your hard work to help RI students prepare for success in college &amp; beyond!",
"2015-09-29 ","17:10:02","SenJackReed","Congrats @bps_ri Admin &amp; teachers at Nayatt School in #Barrington, named a 2015 Blue Ribbon School! CC @NayattLibrary http://t.co/T8vNWcZyBP","Barrington"
"2015-09-29 ","17:06:38","SenJackReed","Congrats @PawtucketSup @DonGrebien &amp; teachers at Francis J. Varieur in #Pawtucket - named a 2015 Blue Ribbon School! http://t.co/feCGSrya8Y","Pawtucket"
"2015-09-29 ","17:04:33","SenJackReed","Congrats to @VictorMercurio &amp; Administration/Teachers at @ColemiddleEG on recognition as a 2015 Blue Ribbon School! http://t.co/uYn5zQtkCn",
"2015-09-29 ","15:34:40","SenJackReed","3 RI schools earn national #BlueRibbon designation: @ColemiddleEG in EG, Francis J. Varieur in #Pawtucket, &amp; Nayatt School in #Barrington.","BlueRibbon Pawtucket Barrington"
"2015-09-29 ","15:33:26","SenJackReed","Good to see our tireless @ACSCANRI advocates in DC. Their hard work towards a cure makes a difference #CancerLobbyDay http://t.co/ITExZGsQaA","CancerLobbyDay"
"2015-07-14 ","18:35:00","SenJackReed","Historic #IranDeal demonstrates the power of American-led diplomacy. My statement: http://t.co/hLlh5YoVvd","IranDeal"
"2015-06-15 ","16:20:17","SenJackReed","Honored to get Key to the City &amp; the Paddle to the Canal! Thanks @MayorPetty @Canal_District @RepMcGovern #Worcester http://t.co/2CvXyp6fHO","Worcester"
"2015-06-09 ","20:58:41","SenJackReed","My friend Jeanette from Coventry is only 8, but she’s a true champion for her community &amp; @CMNHospitals #Champions15 http://t.co/C2F7apXYl0","Champions15"
"2015-06-09 ","14:31:40","SenJackReed","Happy @GaspeeDay! Today we recall the ""First blow for Freedom"" &amp; celebrate the independent spirit that flows in #RI: http://t.co/uK3IPVfcuW","RI"
"2015-06-09 ","14:07:52","SenJackReed","It’s official: @GQMagazine discovers what we already knew #Providence is ""America's Coolest City"" - http://t.co/6dEEyNLC7f","Providence"
"2014-05-21 ","21:43:31","SenJackReed","Talked #RenewUI, protecting #Medicare, &amp; other issues w/ @AARPRI's tireless advocates Kathleen Connell &amp; Alan Neville http://t.co/JmT8YBpmaP","RenewUI Medicare"
"2014-05-21 ","21:10:11","SenJackReed","Thx to @council4econed for having me today to talk #studentloan debt, college affordability, &amp; why #FinancialLiteracy is so important.","studentloan FinancialLiteracy"
"2014-05-21 ","13:25:58","SenJackReed","Thx to #ACLI, @ShalaneFlanagan &amp; all the runners &amp; volunteers who came out today to help #veterans. #CapitalChallenge http://t.co/BrIZoxu0Iz","ACLI veterans CapitalChallenge"
"2014-05-21 ","12:08:10","SenJackReed","Running 3 mile road race today to benefit @fidelco, which provides highly trained guide dogs to blind #veterans &amp; other clients at no cost.","veterans"
