"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","22:34:34","SenBobCorker","Proud to nominate @katieinuganda for @CCAInstitute Angel in Adoption award for her tireless dedication to adoption. https://t.co/pJYGAFh1Iz https://t.co/FvPTGT3TXB",
"2016-09-21 ","21:04:24","SenBobCorker","Thankful for the opportunity to welcome #HonorAir of Middle Tennessee veterans to D.C. this morning. https://t.co/kA9C7cHRH5","HonorAir"
"2016-07-15 ","23:29:42","SenBobCorker","Watch my video honoring Chattanooga’s #FallenFive and reflecting on the remarkable community response: https://t.co/sI1IYlAmA1","FallenFive"
"2016-07-15 ","16:25:26","SenBobCorker","Enjoyed meeting with the Cheatham Co. Chamber and talking with a few of Ashland City's future leaders this morning. https://t.co/mE7eoO1SKQ",
"2016-07-15 ","13:35:36","SenBobCorker","We are heartbroken by the senseless terror attack in Nice that took the lives of so many people. #PrayForNice https://t.co/YuSTbKMkIW","PrayForNice"
"2016-02-23 ","21:56:24","SenBobCorker",".@SenAlexander and I were glad to meet with @AmericanLegion members from Tennessee at this morning's TN Tuesday. https://t.co/tVZjkd2EgJ",
"2016-02-23 ","21:53:39","SenBobCorker","Proud of the bipartisan commitment on the SFRC in the fight to #ENDIT. #enditmovement #endslaveryact  https://t.co/75QY679dWc","ENDIT enditmovement endslaveryact"
"2016-02-23 ","13:54:44","SenBobCorker","At 10 a.m. ET, Sec. @JohnKerry will testify in SFRC hearing to review @StateDept FY 2017 budget request. Livestream: https://t.co/Qm3AhwmrXo",
"2016-02-23 ","00:32:44","SenBobCorker","Great event today in Nashville to kick off #enditmovement week! Read more about it here: https://t.co/Suj6JWxEp3. #endslaveryact","enditmovement endslaveryact"
"2016-02-18 ","21:55:41","SenBobCorker","My statement on the president signing the #NorthKorea Sanctions and Policy Enhancement Act of 2016 into law https://t.co/6YksTaqj3Y","NorthKorea"
"2015-10-29 ","12:55:58","SenBobCorker","TUNE IN: SFRC hearing at 10 a.m. ET on the nominations of Thomas Shannon and Laura Holgate. Live Stream: https://t.co/5fxtVZnpot",
"2015-09-29 ","21:44:19","SenBobCorker","View more photos of my visit today with the #HonorFlight of Middle Tennessee here: http://t.co/2tJk9boWPb. http://t.co/3cEGxgv8lR","HonorFlight"
"2015-09-29 ","20:41:19","SenBobCorker","It was an honor to greet the #HonorFlight of Middle Tennessee at the Korean War Memorial this afternoon. http://t.co/4eq3Jfk0K6","HonorFlight"
"2015-09-29 ","13:43:12","SenBobCorker","TUNE IN: SFRC hearing today at 10:00 a.m. ET to discuss the U.S. role in the Middle East and humanitarian crisis. http://t.co/s4kW7sNmVY",
"2015-07-14 ","15:30:19","SenBobCorker","TUNE IN: Senator Corker will discuss the #IranDeal with @mitchellreports on @msnbc at 12:05 p.m. ET.","IranDeal"
"2015-07-14 ","13:01:11","SenBobCorker","The 60-day review period does not begin until ALL documents associated with the #IranDeal are submitted to Congress as required by law.","IranDeal"
"2015-07-14 ","12:55:56","SenBobCorker","TUNE IN: Senator Corker will discuss the #IranDeal with @marthamaccallum on @FoxNews @AmericaNewsroom at 10:10 a.m. ET.","IranDeal"
"2015-07-14 ","12:18:58","SenBobCorker","Here’s my full statement regarding the announcement of a nuclear agreement with #Iran: http://t.co/edmCu23YVg. #IranDeal","Iran IranDeal"
"2015-07-14 ","12:18:22","SenBobCorker","I begin from a place of deep skepticism that the deal actually meets the goal of preventing #Iran from obtaining a nuclear weapon. #IranDeal","Iran IranDeal"
"2015-06-15 ","22:22:01","SenBobCorker","Incredible two-run walk-off home run by freshman Jeren Kendall today in Omaha. Congrats on the W, @VandyBaseball. #VandyBoys #CWS","VandyBoys CWS"
"2015-06-15 ","15:42:31","SenBobCorker","Corker highlights concerns with Iran nuclear negotiations in letter to the president http://t.co/nd4757SyQ8 #IranTalks","IranTalks"
"2015-06-09 ","22:35:55","SenBobCorker","Pleased the SFRC unanimously passed our State Department Authorization bill. Last one to pass committee was in 2010.",
"2014-10-22 ","18:24:14","SenBobCorker","Senator Corker is now in Fayette County discussing how we can grow the economy with the local Chamber of Commerce. http://t.co/U4K9lDXdya",
"2014-10-22 ","17:43:32","SenBobCorker","Senator Corker was excited join President Joe Wiley and @fhulions students at this morning's chapel service. #FHU http://t.co/A4xzB4YRgT","FHU"
"2014-10-22 ","14:25:53","SenBobCorker","Senator Corker tells West Tennessee mayors to “have a bold vision for your community and throw deep on every play.” http://t.co/EovHaimgvm",
"2014-10-22 ","14:24:20","SenBobCorker","Great turnout this morning in Jackson for Senator Corker’s meeting with West Tennessee mayors. http://t.co/tPPMib31LY",
"2014-05-21 ","22:30:52","SenBobCorker","Corker: “Our nation’s veterans deserve answers and accountability from the administration…” http://t.co/8UZrFNVARm #VAaccountability","VAaccountability"
"2014-05-21 ","14:37:20","SenBobCorker","Live now: Sen. Corker questioning witnesses at #SFRC hearing on the 2001 #AUMF http://t.co/Ay1KZ8x97x","SFRC AUMF"
"2014-05-21 ","14:07:08","SenBobCorker","Live now: Sen. Corker speaking at #SFRC hearing on the 2001 #AUMF http://t.co/Ay1KZ8x97x http://t.co/Imiiol0IBo","SFRC AUMF"
"2014-05-21 ","13:29:16","SenBobCorker","#SFRC hearing today at 10:00 a.m. ET on the 2001 #AUMF &amp; the evolving threat of terrorism: http://t.co/Ay1KZ8x97x http://t.co/8CNZ2s5FAe","SFRC AUMF"
"2014-04-01 ","23:01:39","SenBobCorker","Corker: U.S. must demonstrate long-term resolve to deter any further Russian intervention in #Ukraine &amp; the region http://t.co/5wItbkssah","Ukraine"
"2014-04-01 ","22:59:51","SenBobCorker","Corker: House passage of Senate #Ukraine bill “allows Congress to speak with one voice” http://t.co/5wItbkssah","Ukraine"
"2013-09-14 ","18:30:20","SenBobCorker","Senator Corker will be a guest on CBS’ @FaceTheNation tomorrow morning. Listings: http://t.co/4wUppLipz8. #Syria http://t.co/5AKdUbvTON","Syria"
"2013-09-14 ","15:22:54","SenBobCorker","Corker: “…it's vital that going forward, the President articulate how his actions protect our national interests...."" http://t.co/1f8sUQJHdf",
"2013-09-14 ","15:22:23","SenBobCorker","Corker: “The administration's handling of this crisis has hurt U.S. credibility…” http://t.co/1f8sUQJHdf #Syria","Syria"
"2013-09-14 ","15:22:04","SenBobCorker","Corker: Negotiations should be used to reinforce broader U.S. interests, including support for moderate opposition. http://t.co/1f8sUQJHdf",
"2013-09-14 ","15:21:29","SenBobCorker","Corker: “…but I remain supportive of a strong diplomatic solution to #Syria's use of chemical weapons.” http://t.co/1f8sUQJHdf","Syria"
"2013-09-14 ","15:20:56","SenBobCorker","Corker: “I'm still reviewing the details… #Syria's willingness to follow through is very much an open question…” http://t.co/1f8sUQJHdf","Syria"
"2013-09-14 ","15:19:59","SenBobCorker","Corker: “Absent the threat of force, it's unclear to me how Syrian compliance will be possible...” http://t.co/1f8sUQJHdf #Syria","Syria"
"2013-09-14 ","15:18:50","SenBobCorker","RELEASE: Corker Statement on U.S.-Russia Agreement on Syrian Chemical Weapons http://t.co/1f8sUQJHdf #Syria","Syria"
"2013-07-24 ","18:14:47","SenBobCorker","Senator Corker met with @BBYOInsider “Impact: DC” students at Tenn. Tuesday yesterday. More: http://t.co/oOHkdCGG8j. http://t.co/zfdTRINi9V",
"2013-06-05 ","21:56:24","SenBobCorker","Senator Corker discussed #GSEReform with the Home Builders Association of Tennessee this afternoon. http://t.co/jGAOx3Ilr5","GSEReform"
