"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","12:05:16","kaybaileyhutch","@SquawkCNBC  with @JoeSquawk @BeckyQuick  about a great choice for @GOP , @GovPenceIN for vice pres! @CNBC 
@MSNBC https://t.co/FFckSrBYSG",
"2015-09-29 ","20:42:27","kaybaileyhutch","Taped an interview for @TexasExes ! @UTAustin @utsystem http://t.co/nGjLsIUq3O",
"2015-09-29 ","17:58:20","kaybaileyhutch","So happy to be talking avoiding government shutdown on @CNBC @PowerLunch  with @TylerMathisen  @CNBCPolitics http://t.co/o5JmnHgYoj",
"2015-06-09 ","16:40:44","kaybaileyhutch","@wilsoncenter @MexicoInstitute meeting @aztecduncan and Mexican officials on energy producing there @KBHEnergyCenter http://t.co/jeBOdKctZE",
"2015-06-09 ","13:24:29","kaybaileyhutch","@WilsonCenter @KBHEnergyCenter @UTAustin meeting of Mexico Institute on bilateral trade and student exchanges @CNBC http://t.co/opLZRPjDEu",
"2014-10-22 ","20:31:31","kaybaileyhutch","@AHarrisPR: Another #PowerPanel @mmckinnon @kaybaileyhutch @Lizchadderdon #KarenHughes @Jehmu #TxWomenChangingTheGam

http://t.co/wI3Zcnsdmb","PowerPanel KarenHughes TxWomenChangingTheGam"
"2014-10-22 ","20:15:41","kaybaileyhutch","Talking to @markmckinnon ,great job moderating @WomenInWorld #WomeninWorldTX in San Antonio @SanAntonioEx @ksatnews http://t.co/lI5iWgFPsL","WomeninWorldTX"
"2014-10-22 ","20:11:04","kaybaileyhutch","@WomenInWorld meeting in @SanAntonioEx @COSAGOV with @DVF ! Women helping women!#WomeninWorldTX @ksatpolitics http://t.co/pKxbu2Dr8P","WomeninWorldTX"
"2014-10-22 ","15:41:29","kaybaileyhutch","@KathyOlchak: @kaybaileyhutch Please help by sharing. She's still missing! #findchristina #ChristinaMorris http://

http://t.co/LF3VjHcWTq","findchristina ChristinaMorris"
"2014-10-22 ","14:28:39","kaybaileyhutch","@WomenInWorld: .@TinaBrownLM sharing the list of illustrious guests at #WomenInWorld@GloriaSteinem @DrBiden @EvaLongoria @KayBaileyHutch","WomenInWorld"
"2014-10-22 ","00:57:47","kaybaileyhutch","http://t.co/mNZsYq3V89",
"2014-10-22 ","00:34:00","kaybaileyhutch","With @UTSWNews @UTSWMed Nobel laureate and NAS member at event championing academic research @dallasnews @TexasExes http://t.co/60bPaY1tVe",
"2014-10-22 ","00:24:25","kaybaileyhutch","http://t.co/atDineIFRY",
"2013-09-14 ","21:16:43","kaybaileyhutch","Another heartbreaker for @rangers! Hope Sunday keeps us in the hunt!!",
"2013-09-14 ","19:22:09","kaybaileyhutch","@ChristiCraddick !! You are doing a great job!!",
"2013-09-14 ","13:40:58","kaybaileyhutch","My hopes for this weekend ..@Rangers dump the slump..@Aggies beat the Tide..And  the @TexasSports Longhorns get back on track !!",
"2013-09-14 ","04:19:36","kaybaileyhutch","Tough loss for @Rangers ! 6 runs in the 8fh  almost pulled it out!!",
"2013-07-24 ","03:09:19","kaybaileyhutch","Unfortunately , the 6 th  inning wasn't the  9th!",
"2013-07-24 ","02:05:44","kaybaileyhutch","What a 6th inning! Moreland  brings in the lead for @Rangers ! Hold on rangers!",
"2013-06-05 ","23:47:28","kaybaileyhutch","Signing copies of my book ""Unflinching Courage"" at the @cowgirlmuseum in Fort Worth! Thank you everyone for coming! http://t.co/cx30ttJWnX",
"2013-06-05 ","23:00:03","kaybaileyhutch","So excited to be at @cowgirlmuseum tonight with all of my Fort Worth friends! They even have my boots on display! http://t.co/Kn8EC8xUL1",
"2013-06-05 ","16:56:59","kaybaileyhutch","Wow!  Just another reason I love the @Rangers - they are hosting the ENTIRE city of West, Texas at the ballpark for the July 6th game!",
"2013-06-05 ","15:01:23","kaybaileyhutch","If you are in Ft. Worth tonight, hope you can swing by my book signing at the Cowgirl Museum!  More details here: http://t.co/v2WnnHnfQ3",
"2013-06-05 ","13:46:01","kaybaileyhutch","Well...we all have bad days..@rangers took it a little far! But today is a new day..and plenty of time to recover! Go team!",
"2012-12-12 ","20:55:23","kaybaileyhutch","Not a farewell speech -- just thanking my colleagues! RT @cspan: VIDEO: Sen. @KayBaileyHutch (R-TX) Farewell Address http://t.co/jF7iFyFL",
"2012-12-12 ","16:41:31","kaybaileyhutch","Responding to the kind words by @SenatorBarb on the Senate floor live right now http://t.co/LXwx6OMX",
"2012-12-12 ","15:18:59","kaybaileyhutch",".@TxDOT: Give the Gift That Keeps One Living http://t.co/FTupQV4a",
"2012-12-12 ","13:05:28","kaybaileyhutch","Thanks to all of my staff -- past and present -- for the wonderful reception last night! http://t.co/XYhLR3jI",
"2012-09-25 ","22:44:34","kaybaileyhutch","Go rangers..one more win over oakland !:)",
"2012-09-25 ","14:31:32","kaybaileyhutch","""About a quarter of American adults between the ages of 18 and 30 now live with parents"" http://t.co/lV42gvX7 #WeCanDoBetter","WeCanDoBetter"
"2012-09-25 ","12:33:52","kaybaileyhutch",".@wsj: The annotated Obama: How 90% of the deficit becomes somebody else's fault http://t.co/qPZrcaCy #WeCanDoBetter","WeCanDoBetter"
"2012-09-25 ","11:49:04","kaybaileyhutch","Beltre rocks!:)",
"2012-09-25 ","03:01:00","kaybaileyhutch","9th inning..go rangers..hold on!",
"2012-09-25 ","02:43:05","kaybaileyhutch","Yippee! 2 run homer for beltre! Game tied!",
"2012-09-25 ","01:37:16","kaybaileyhutch","Big series..rangers ..need to have some wins against oakland!",
"2012-08-03 ","23:52:07","kaybaileyhutch","Let's go #Rangers! Keep up the momentum!","Rangers"
"2012-08-03 ","17:44:21","kaybaileyhutch","Today's 8.3% unemployment is the same as when Pres. Obama signed stimulus bill in Feb. '09 http://t.co/euzfhAVQ #ItDidntWork #WeCanDoBetter","ItDidntWork WeCanDoBetter"
"2012-08-03 ","16:49:23","kaybaileyhutch","My Statement on #NASA’s Commercial Crew Announcement http://t.co/PuY9h4du","NASA"
"2012-08-03 ","12:42:09","kaybaileyhutch","@HoustonChron: Senate committee votes to keep hurricane relief planes in #Texas http://t.co/HUbRYHk9","Texas"
"2012-08-03 ","12:39:06","kaybaileyhutch","Unemployment rate remains over 8% for 42nd straight month #ObamaEconomy #WeCanDoBetter","ObamaEconomy WeCanDoBetter"
"2012-08-03 ","03:55:02","kaybaileyhutch","And clary,too..go america!!!",
"2012-08-03 ","03:53:49","kaybaileyhutch","Going back and forth..rangers ahead 15-8...gabby and michael win gold!!",
"2012-07-18 ","23:20:56","kaybaileyhutch","Tough loss today, but rest up for the Angels! Go #Rangers!","Rangers"
"2012-07-18 ","22:21:25","kaybaileyhutch","Had a wonderful time visiting with @RepBillFlores and the NCAA Champion @BaylorWBB Basketball Team! http://t.co/YDg9Ehkb",
"2012-07-18 ","18:37:12","kaybaileyhutch","Enjoyed participating in the @NJLiveEvents ""Women 2020"" Conference this morning https://t.co/6Qrk8DqA",
"2012-07-18 ","15:13:38","kaybaileyhutch","Will be at @NJLiveEvents #njwomen2020 ""How Women Are Reshaping the Economy, Politics and the world"" Watch live here http://t.co/eEhWerfC","njwomen2020"
"2012-07-18 ","13:36:48","kaybaileyhutch","@washingtonpost: Study Warns Obama #TaxHike Would Plague Millions of Small Businesses http://t.co/eY6ExJqt #StopTheTaxHike","TaxHike StopTheTaxHike"
"2012-07-18 ","12:06:43","kaybaileyhutch","@Politico: ""President Barack Obama’s Jobs Council hasn’t met publicly for six months"" http://t.co/yfnZFy7g #WeCantWait","WeCantWait"
