"Date","Time","screen_name","text","hashtags"
"2012-07-18 ","19:43:54","OrrinHatch","Letter: Reinstate Welfare Work Requirements http://t.co/9XCRVIKq via @heritage_action #utpol","utpol"
"2012-05-18 ","20:02:36","OrrinHatch","ICYMI: Utah Tech Leaders Stand With Orrin http://t.co/16wtXUZa #utpol","utpol"
"2012-05-18 ","16:43:57","OrrinHatch","Letter Of Support From Retired Air Force General Gregory Martin http://t.co/Sxg8evZO #utpol","utpol"
"2012-02-19 ","03:33:41","OrrinHatch","I really appreciate my friend @SenJonKyl coming out to speak to the  Washington and Utah County GOP. #utpol http://t.co/3WRbGte3","utpol"
"2011-01-14 ","23:51:09","OrrinHatch","Glad to have @TaxReformer's support for repealing ObamaCare's individual and employer mandates. http://bit.ly/fwweui #utpol","utpol"
"2011-01-14 ","16:25:31","OrrinHatch","Article in the Spectrum: Hatch vows to fight for GOP values http://is.gd/6xYL0P #tcot #utpol","tcot utpol"
"2011-01-14 ","05:02:21","OrrinHatch","@R_Penny @incognito912  and @ProdigalCyclist I'm right there with you.  BBA, Repealing ObamaCare and getting rid of the AMT #utpol","utpol"
"2011-01-14 ","04:58:39","OrrinHatch","My first bill is the Balanced Budget Amendment, as many of you have mentioned we need to get our fiscal house in order before other bills.",
"2011-01-14 ","03:04:16","OrrinHatch","I'm developing my top ten bills list for the year and want your input. What would your number 1, 2 and 3 bills be?",
"2011-01-13 ","21:54:08","OrrinHatch","Sen. Hatch pushing balanced-budget amendment in Senate -The Hill http://t.co/lg4AZCa #utpol #tcot","utpol tcot"
"2011-01-13 ","14:56:17","OrrinHatch","At breakfast with some local leaders in St. George.  I'm always grateful to visit Southern Utah, great people and warm.",
"2011-01-12 ","18:42:47","OrrinHatch","Don’t panic | Nice editorial in the Tribune, we all need to take a collective deep breath http://t.co/77dvVmf #utpol","utpol"
"2011-01-12 ","15:34:32","OrrinHatch","@davidmiller I did last year and my BBA was within one vote of passage in 1995.  That is the closest we've ever come to having the BBA.",
"2011-01-11 ","16:47:46","OrrinHatch","I'm going on Doug Wright's Show on KSL radio at 10:00 am. Tune in.",
"2011-01-11 ","02:47:22","OrrinHatch","I'll be on Doug Wright's show tomorrow morning taking calls, be sure to listen and call in. #utpol","utpol"
"2011-01-10 ","15:06:24","OrrinHatch","I hope you will join with me for a moment of silence at 11 AM EST, 9 AM MST to honor the victims of the senseless tragedy in Tucson.",
"2011-01-08 ","22:22:04","OrrinHatch","I join every Utahn and American in condemning this senseless and brutal act of violence in Tuscon. My wife, staff and I send our prayers.",
"2011-01-07 ","18:23:29","OrrinHatch","The administration better understand that IF Congress considers a debt limit increase, it should be paired with significant spending cuts.",
