"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","23:19:10","russfeingold","Sen. Johnson's 10 right-wing groups, 3 super PACs, and the NRA won't give up without a fight.

Step up right now: https://t.co/g4E11NItkV https://t.co/AqB4PIPicq",
"2016-09-21 ","20:35:07","russfeingold","Russ is committed to creating a working economy for working people. We’re excited to have endorsement of @AFSCME. #Russ4WI https://t.co/Y4dwe0KABP","Russ4WI"
"2016-09-21 ","19:02:28","russfeingold","On Monday, Russ spoke with @MTEAunion retirees about strengthening education and protecting Social Security. https://t.co/hmZxnb0ZUS",
"2016-09-21 ","16:19:11","russfeingold","✅ Increased high-speed internet access
✅ Better job training 
✅ Fairer trade deals
✅ #Russ4WI https://t.co/GTfuW1PKGd","Russ4WI"
"2016-09-21 ","14:40:50","russfeingold","""Johnson has a bevy of alarming quotes on climate change..."" https://t.co/fqIjcrjzzk https://t.co/Ru9hTAV7oZ",
"2016-09-21 ","00:17:02","russfeingold","Russ has a comprehensive plan to spur innovation, workforce development, job growth, &amp; renewed infrastructure in WI. https://t.co/2WuhrdhfJj",
"2016-07-15 ","20:04:02","russfeingold","Russ is proud to have the endorsement of @NARAL. Access to reproductive care is a basic right for all WI women. https://t.co/t5P4Eh82Pn",
"2016-07-15 ","00:05:02","russfeingold","On the 51st anniversary of the #OAA, our commitment to programs that protect seniors are more important than ever. https://t.co/JLpLVqK4a2","OAA"
"2016-07-05 ","22:16:03","russfeingold","From Rhinelander, to Algoma, to Fond du Lac, down to Kenosha, we're seeing #Russ4WI support up and down the state! https://t.co/502R1zCO4t","Russ4WI"
"2016-07-05 ","20:07:42","russfeingold","Sen. Johnson’s proposed amendment to the #ADA doesn’t ""fit the spirit and values of any system of education.” https://t.co/3agZ6e4QSo","ADA"
"2016-07-05 ","17:05:53","russfeingold","Spotted at the Stevens Point 4th of July parade: The #RussBus! 🇺🇸 https://t.co/nppv8AMnVp","RussBus"
"2016-06-10 ","23:03:23","russfeingold","“Listening To You In All 72”: We had a packed house at the @flyingpigshice in Beloit last week! #WISCONSIN72 https://t.co/5qPmlgDMGg","WISCONSIN72"
"2016-06-10 ","20:01:21","russfeingold","Sen. Johnson is a member of this ""historically gridlocked &amp; ineffective Congress,” but hoping Wisconsinites forget. https://t.co/IpVFS8oSJw",
"2016-06-10 ","17:18:33","russfeingold","On this 53rd anniversary of #EqualPayAct, we celebrate progress &amp; recognize that the fight for equality isn’t over. https://t.co/AcavlQM9A5","EqualPayAct"
"2016-02-23 ","21:41:13","russfeingold","Russ discussed his #InnovateWI plan with WFRV's Tom Zalaski in Green Bay last week. WATCH HERE ➞ https://t.co/UKeWWeXozS","InnovateWI"
"2016-02-18 ","23:45:10","russfeingold","Russ's #InnovateWI plan advocates for a strong, well-trained workforce. Read more here. ⬇︎ https://t.co/g1sDITvPn7 https://t.co/ZnxuKIAba8","InnovateWI"
