"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","16:50:57","SenJohnBarrasso","About to join @TeamCavuto on @FOXBusiness to talk about #Iran. https://t.co/MpkW5dsk95","Iran"
"2016-02-23 ","23:25:13","SenJohnBarrasso",".@Ms_Cs_Class I love the entire state, but one of my favorite places in Wyoming is near my home on Casper Mountain. #AndersonHawks","AndersonHawks"
"2016-02-23 ","23:23:24","SenJohnBarrasso",".@Ms_Cs_Class Hello #AndersonHawks, thanks for the question. My favorite part of being a U.S. senator is representing the state I love.","AndersonHawks"
"2016-02-23 ","20:25:42","SenJohnBarrasso","Today, I pressed Sec. of State Kerry on int'l climate change funding &amp; Russian ceasefire commitments in #Syria. https://t.co/aoH0Fr4jr3","Syria"
"2016-02-23 ","12:52:30","SenJohnBarrasso","Looking forward to joining @MariaBartiromo on @FoxBusiness Mornings with Maria at 8 a.m. ET #TuneIn","TuneIn"
"2015-11-25 ","14:34:07","SenJohnBarrasso","The inevitable outcome of Paris climate talks is a plan w/unproven benefits &amp; unreachable goals, but very real costs https://t.co/iXh6CD3ZJz",
"2015-11-25 ","14:30:21","SenJohnBarrasso","ICYMI: My op-ed in today's @WSJ - Congress Can Cool Off Obama’s Climate Plans https://t.co/iXh6CD3ZJz",
"2015-10-29 ","21:30:54","SenJohnBarrasso","Bill scraps EPA’s #WOTUS rule &amp; directs revisions that focus on traditional navigable water while protecting farmers, ranchers &amp; landowners.","WOTUS"
"2015-10-29 ","21:29:15","SenJohnBarrasso","Senate will vote on motion to proceed to my bipartisan Fed. Water Quality Protection Act (S. 1140) next week. #WOTUS https://t.co/Nbtglf7rBU","WOTUS"
"2015-09-29 ","18:32:25","SenJohnBarrasso",".@SenatorEnzi and I are happy to welcome @GovMattMead to D.C. as he joins other governors to discuss Western issues. http://t.co/323bsCgf95",
"2015-09-29 ","17:18:57","SenJohnBarrasso","Happy 116th birthday to @VFWHQ. We are thankful for your service to our military members and their families.",
"2015-09-29 ","13:26:59","SenJohnBarrasso","Looking forward to joining @BillHemmer on @FOXNews @AmericaNewsroom at 9:40 am ET to talk about #UN General Assembly.","UN"
"2015-07-14 ","15:11:33","SenJohnBarrasso","#Congress will thoroughly review #IranDeal to ensure it focuses on protecting American people—not #POTUS legacy http://t.co/RWVri2Tzsm","Congress IranDeal POTUS"
"2015-07-14 ","15:10:59","SenJohnBarrasso","With Admin’s history of concessions, Congress right to be skeptical of #IranDeal’s ability to protect nat’l security http://t.co/RWVri2Tzsm","IranDeal"
"2015-06-09 ","21:02:45","SenJohnBarrasso","Today’s White House fact sheet claims the #ACAworks. Here’s the reality: http://t.co/RD2Ef4bRDu http://t.co/ISCJUt9eve","ACAworks"
"2015-06-09 ","15:46:49","SenJohnBarrasso","#POTUS should not stand up on stage today and pretend that his health care law is helping more people than it hurts. http://t.co/IY17AYbahd","POTUS"
"2015-06-09 ","15:42:23","SenJohnBarrasso","Previewed #POTUS health care speech today—POTUS should face reality of #Obamacare’s rising costs &amp; consequences. https://t.co/A5ODQGW6TG","POTUS Obamacare"
"2014-10-22 ","18:21:21","SenJohnBarrasso",".@BreitbartNews: Barrasso: Obama Letting Political Correctness Dictate Ebola Policies http://t.co/Q5kx5I0Z0p",
"2014-04-01 ","19:16:34","SenJohnBarrasso","Thanks @SenJohnHoeven &amp; @LisaMurkowski for joining in intro amdt to create jobs by approving KeystoneXL &amp; LNG exports http://t.co/J8fwkiEqe1",
"2014-04-01 ","14:01:17","SenJohnBarrasso","Russia’s Gazprom just raised gas prices on #Ukraine—Congress can help Ukraine by passing my amdt to export US LNG http://t.co/60VbxAztTo","Ukraine"
"2014-02-18 ","21:43:48","SenJohnBarrasso","Thanks @WYLegislature for inviting me to speak today. Happy to see #Wyoming continues to be in good hands. http://t.co/hDyhIYxL4G","Wyoming"
"2013-07-24 ","17:40:58","SenJohnBarrasso","While POTUS gives another speech, @Senate_RPC breaks down how the #ObamaEconomy is squeezing the middle class. http://t.co/O6GqoFADfY","ObamaEconomy"
"2013-07-24 ","15:39:20","SenJohnBarrasso","Best way President can help middle class Americans is to repeal #Obamacare &amp; cancel the new national #EnergyTax plan http://t.co/OhQROTKScc","Obamacare EnergyTax"
"2013-07-24 ","15:37:02","SenJohnBarrasso","Pres. Obama promised to care about middle class Americans—but his policies are making their lives much more difficult http://t.co/OhQROTKScc",
"2013-07-24 ","13:42:31","SenJohnBarrasso","On my way to the Floor to preview Pres. Obama’s upcoming speech on the middle class &amp; the economy. Watch it LIVE here http://t.co/Z3SJ6xnrvk",
"2013-06-05 ","21:27:44","SenJohnBarrasso","Enjoyed visiting w/students &amp; teachers (@tlcat06) from @StAnthonyCasper school today on the steps of the US Capitol. http://t.co/Mv1qsGtDYl",
"2013-06-05 ","20:53:06","SenJohnBarrasso","Thanks Tevi, always great to get your insight. MT @TeviTroy Just spent an hour w/@SenJohnBarrasso on health care policy…",
