"Date","Time","R_or_D","screen_name","text","Before_or_After","hashtags","Nominate_dim1","total_victims","Before_or_After_Shooting","case","race","mentions_terror","Shooting_related_terrorism"
"10/1/15",06:00:00,"R","SenatorKirk","In 13-9 vote Senate Banking passes Toomey-Kirk “Justice for Victims of Iranian Terror” bill as House votes on bill http://t.co/yBkuTW5TP2",,,,,"After","General-Iran",,1,0
"10/1/15",06:00:00,"R","SenToomey","Why is @POTUS threatening to veto a bill to provide justice to victims of Iranian terrorism? http://t.co/xuoIcGbUyV",,,,,"After","General-Iran","Other",1,0
"10/1/15",12:00:01,"R","RepFitzpatrick","Today, the House will stand up for the families of Iranian terrorism. #NotOneCent http://t.co/p9T92XQ8Eb","After","NotOneCent",0.202,18,"After","General-Iran",,1,0
"10/1/15",13:43:47,"R","RepDanDonovan","Today, I'll vote in support of @RepMeehan legislation to stand up for victims of Iranian terrorism #notonecent http://t.co/paC8ng4BZq","After","notonecent",0.224,18,"After","General-Iran",,1,0
"10/1/15",14:37:37,"R","JudgeTedPoe","Today's Terrorism Update:
Russian jets carried out a second day of air strikes in Syria today, targeting areas... http://t.co/nDwnMqwGLP","After",,0.594,18,"After","General-Islamic",,1,0
"10/1/15",14:52:07,"R","RepBillShuster","Proud to support PA colleague @RepMeehan &amp; ensure #NotOneCent in sanctions relief for Iran until it pays $40+ bil owed to victims of terror.","After","NotOneCent",0.374,18,"After","General-Iran",,1,0
"10/1/15",15:01:56,"R","DesJarlaisTN04","Iran owes billions in compensation to the victims of its state-sponsored terrorism. #NotOneCent until they pay up. http://t.co/T5NA2hxJpl","After","NotOneCent",0.594,18,"After","General-Iran","Other",1,1
"10/1/15",15:27:26,"R","USRepRodney","Cosponsored @RepMeehan bill to provide #NotOneCent for Iranian regime until victims of Iran’s terror are compensated https://t.co/gPmWdWzyiK",,,,,"After","General-Iran",,1,0
"10/1/15",16:10:58,"R","USRepGaryPalmer","See @RepMeehan's powerful video re: Justice for Victims of Iranian Terrorism Act.  Proud to co-sponsor. #NotOneCent https://t.co/faREUNhk2Z","After","NotOneCent",0.778,18,"After","General-Iran",,1,0
"10/1/15",16:48:50,"R","RepJeffDenham","Iran should receive #NotOneCent of sanctions relief before paying the billions owed to victims of their terrorism https://t.co/JENluhghXc","After","NotOneCent",0.308,18,"After","General-Iran",,1,0
"10/1/15",17:44:12,"R","RepRyanCostello","The House just passed @RepMeehan's Justice for Victims of Iranian Terrorism Act. I spoke in support of this bill: https://t.co/pXroPyM2tk","After",,-0.317,18,"After","General-Iran","Other",1,0
"10/1/15",17:53:57,"R","PeteSessions","Proud to support the passage of H.R. 3457,Justice for Victims of Iranian Terrorism Act. Read my full statement here: https://t.co/TpUzeSsW7s","After",,0.586,18,"After","General-Iran",,1,0
"10/1/15",17:57:34,"R","RepRobWoodall","Proud to support #HR3457. #NotOneCent of sanctions relief to #Iran until victims of its state-sponsored terrorism have been compensated.","After","HR3457 NotOneCent Iran",0.651,18,"After","General-Iran",,1,0
"10/1/15",17:58:35,"R","RepEvanJenkins","Victims of Iranian terrorism deserve justice. #NotOneCent https://t.co/EOpnR6yWEu","After","NotOneCent",0.522,18,"After","General-Iran",,1,0
"10/1/15",17:59:33,"R","RepLanceNJ7","Iran must pay back the victims of their terrorism before they get a dime of sanctions relief from us.  https://t.co/M6TRcarqzc","After",,0.333,18,"After","General-Iran",,1,0
"10/1/15",18:00:49,"R","MikeKellyPA","Today the House passed the 'Justice for Victims of Iranian Terrorism Act.' Proud to co-sponsor. VIDEO: https://t.co/5fyzIbyXCd #NotOneCent","After","NotOneCent",0.318,18,"After","General-Iran",,1,0
"10/1/15",18:00:51,"R","RepChrisSmith","Supporting court-ordered victim payments by the terror state of Iran is fundamental justice. Proud 2 support @RepMeehan's bill. #NotOneCent","After","NotOneCent",0.16,18,"After","General-Iran",,1,0
"10/1/15",18:01:53,"R","RepAlexMooney","The victims of Iran’s terror deserve justice. That’s why I voted for H.R. 3457. https://t.co/lRfooq1OfA",,,,,"After","General-Iran",,1,0
"10/1/15",18:04:31,"R","RepAndyBarr","House vote: #NotOneCent of sanctions relief for Iran before it compensates victims of its state-sponsored terrorism https://t.co/Nh5527CO6U","After","NotOneCent",0.485,18,"After","General-Iran",,1,0
"10/1/15",18:05:13,"R","RepPaulCook","I just voted for #HR3457 to ensure victims of Iranian terror receive the justice they deserve. Read more--&gt; https://t.co/zmwz3gq63K #CA08","After","HR3457 CA08",0.385,18,"After","General-Iran",,1,0
"10/1/15",18:08:54,"R","RepTrentKelly","Proud to support @RepMeehan's Justice for Victims of Iranian Terrorism Act #NotOneCent https://t.co/oX3lW6QL0o","After","NotOneCent",0.566,18,"After","General-Iran",,1,0
"10/1/15",18:36:17,"R","RepWalterJones","Iran needs to compensate the victims of its terrorism. That's why I voted for H.R. 3457 today: https://t.co/oMLSOZtYtJ #nc03 #ncpol","After","nc03 ncpol",0.642,18,"After","General-Iran",,1,0
"10/1/15",18:38:16,"R","RepEdRoyce","#Iran has actively funded terrorist groups, operations that have resulted in hundreds of Americans’ deaths: https://t.co/VQSImzWYET",,,,,"After","General-Iran",,1,0
"10/1/15",19:01:16,"R","RepHalRogers","Rogers Votes for Kentucky Iranian Terror Victim's Family to be Compensated https://t.co/ysf2kH2wTh","After",,0.332,18,"After","General-Iran",,1,0
"10/1/15",19:02:29,"R","USRepGaryPalmer","#NotOneCent of sanctions relief, especially before Iran compensates victims of terror. h/t @RepMeehan #alpolitics
https://t.co/knNhlYFqrA","After","NotOneCent alpolitics",0.778,18,"After","General-Iran",,1,0
"10/1/15",19:20:09,"R","RepKenBuck","I voted today for a bill that prohibits the lifting of sanctions on Iran until the country pays the victims of its terrorism #NotOneCent","After","NotOneCent",0.747,18,"After","General-Iran",,1,0
"10/1/15",19:22:04,"R","RepKenBuck","Iran must be held accountable for its terrorist acts against American citizens. #NotOneCent","After","NotOneCent",0.747,18,"After","General-Iran",,1,0
"10/1/15",19:30:28,"R","RepDennisRoss","Iran is getting a pay day with #BadIranDeal while its terrorist victims await billions in compensation! #NotOneCent https://t.co/pKCpjiB0W0","After","BadIranDeal NotOneCent",0.533,18,"After","General-Iran",,1,0
"10/1/15",19:45:14,"R","RepComstock","3 NOVA victims of Iranian terrorist acts are entitled to $645.5 mill. in restitution. https://t.co/TNqhGhfzQY #VA10 https://t.co/b2yTduSYmK","After","VA10",0.275,18,"After","General-Iran",,1,0
"10/1/15",19:46:09,"R","RepMoolenaar","Today, the House passed the Justice for Victims of Iranian Terrorism Act. Iran owes $43.5 billion to terror victims. https://t.co/pZ5Zi7L7Jb","After",,0.401,18,"After","General-Iran",,1,0
"10/1/15",19:46:47,"R","RepMoolenaar","Chief Warrant Officer Kenneth Welch of Michigan was a victim of Iranian sponsored terror in in Lebanon in 1984. https://t.co/V9MdrAsxPW","After",,0.401,18,"After","General-Iran",,1,0
"10/1/15",19:51:40,"R","RepReneeEllmers","I voted for  #NotOneCent to go to Iran until it pays the $43.5B owed to victims of terrorism. https://t.co/YagGlQHmaY","After","NotOneCent",0.406,18,"After","General-Iran",,1,0
"10/1/15",20:03:26,"R","RepEdRoyce","My speech on the House floor supporting @RepMeehan's Justice for Victims of Iranian Terrorism Act: https://t.co/6H9x8Uentm","After",,0.661,18,"After","General-Iran",,1,0
