Date,Time,R_or_D,screen_name,text,Before_or_After,hashtags,Nominate_dim1,total_victims,Before_or_After_Shooting,case,race,mentions_terror,Shooting_related_terrorism
11/28/15,20:24:05,D,RepLawrence,Tell @TheJusticeDept to #InvestigateClinicViolence as domestic terrorism. Sign now: https://t.co/FVjlfANQ9Y,After,InvestigateClinicViolence,-0.437,,After,Inside,White,1,1
11/30/15,6:00:00,D,SenatorReid,"In wake of domestic terrorist act, I commend @PPFA for refusing to allow threats and violence to stand in the way of its important work.",Before,,-0.276,,Before,Inside,White,1,1
12/2/15,15:34:21,D,RepLawrence,When will @HouseGOP close the loophole that allows suspected #terrorists to legally buy guns in the U.S.? https://t.co/iiViA3RdII,After,terrorists,-0.437,35,After,Inside,Other,1,1
12/2/15,15:35:57,R,CongressmanGT,Attended task force on Combatting Terrorist and Foreign Fighter Travel briefing this AM.  #Safety #Security,After,Safety Security,0.307,35,After,Inside,Other,1,1
12/2/15,18:34:30,D,RepPerlmutter,People on the FBI’s Terrorist Watchlist shouldn’t be able to buy guns &amp; explosives- that’s why I’m supporting #HR1076.,,,,,After,Inside,Other,1,1
12/3/15,1:56:29,D,AGBecerra,It’s time to end these senseless acts of #gunviolence terrorizing our children and families #SanBernardino #ColoradoSpringsShooting,,,,,After,Inside,Other,1,1
12/3/15,13:10:33,R,Robert_Aderholt,Contortions morning media going thru to shift #SanBernadinoShooting from suspected lone-wolf terrorism to gun control is astounding @msnbc,After,SanBernadinoShooting,0.361,,After,Inside,Other,1,1
12/3/15,14:29:35,R,MikeKellyPA,Everyone in #SanBernadino continues to be in my deepest prayers. Please keep praying for the victims and their families. Terror cannot win.,After,SanBernadino,0.318,,After,Inside,Other,1,1
12/3/15,14:42:36,D,RepAdamSchiff,"At this point, we can’t rule anything out. We're examining if any links to terror, workplace violence or other motivations. #SanBernardino",,,,,After,Inside,Other,1,1
12/3/15,17:26:36,D,RepAdamSchiff,FBI is conducting investigation into suspects to determine motive &amp; whether there is any connection to terror or evidence of radicalization.,After,,-0.348,,After,Inside,Other,1,1
12/3/15,20:30:48,R,MikeKellyPA,"Mr. President: Instead of climate control or gun control, we need terror control and serious American leadership for a world out of control.",After,,0.318,,After,Inside,Other,1,1
12/3/15,22:15:09,R,KenCalvert,We will not and cannot let cowards with evil intentions terrorize our communities and our country.,After,,0.349,,After,Inside,Other,1,1
4/19/13,12:20:32,R,RepPeteKing,Praying that the 2nd terrorist in Boston will be stopped with no more casualties to police or innocent bystanders,Before,,0.26,,Before,Inside,White,1,0
4/19/13,13:31:59,D,RepAndreCarson,"The people of Boston, and our nation as a whole, stand together in defiance of terror. http://t.co/IGkGtGxv7P",Before,,-0.426,,Before,Inside,White,1,0
4/19/13,14:00:51,R,TomRooney,"Video: by refusing to recognize #FtHood attacks as terrorism, Obama Admin denies victims #PurpleHeart, benefits http://t.co/zzmcGZ8keq",Before,FtHood PurpleHeart,0.459,,Before,Inside,Latino,1,1
4/19/13,14:02:44,R,TomRooney,"Video: #FtHood victim w/bullets still in body, waiting for govt to label attack terrorism so he can get med benefits http://t.co/zzmcGZ8keq",Before,FtHood,0.459,,Before,Inside,Latino,1,1
4/19/13,18:27:01,R,petehoekstra,INITIAL reports on background of Boston terrorists raises multiple red flags of concern.,Before,,0.516,,Before,Inside,Latino,1,0
4/4/14,19:30:30,R,JudgeCarter,I demanded answers from AG Holder on why the 09 #FtHood shooting has not been declared an act of terror. http://t.co/oUU4krxVo5,After,FtHood,0.467,,After,Inside,Latino,1,1
4/4/14,22:46:43,R,JudgeCarter,I was disappointed today by Holder's answer on why the 09 #FtHood shooting has not been declared an act of terror http://t.co/IBSewTaBpq,After,FtHood,0.467,,After,Inside,Latino,1,1
6/12/16,6:00:00,R,JimInhofe,My prayers are w/all those impacted by this senseless act of terror in Orlando. Thank you to brave 1st responders who saved lives.,,,,,After,Inside,Other,1,1
6/12/16,6:00:00,R,JohnBoozman,This act of terrorism in #Orlando is an attack on our freedoms. We must have the resolve to defeat #ISIS. https://t.co/JrY94bilZ7 #arpx,,,,,After,Inside,Other,1,1
