date	time	r_or_d	screen_name	text	hashtags	nominate_dim1	race	mentions_terror	newvar
"11/28/15"	"20:24:05"	"D"	"RepLawrence"	"Tell @TheJusticeDept to #InvestigateClinicViolence as domestic terrorism. Sign now: https://t.co/FVjlfANQ9Y"	"InvestigateClinicViolence"	-.44	"White"	1	1
"11/30/15"	"6:00:00"	"D"	"SenatorReid"	"In wake of domestic terrorist act, I commend @PPFA for refusing to allow threats and violence to stand in the way of its important work."	""	-.276	"White"	1	1
"12/2/15"	"15:34:21"	"D"	"RepLawrence"	"When will @HouseGOP close the loophole that allows suspected #terrorists to legally buy guns in the U.S.? https://t.co/iiViA3RdII"	"terrorists"	-.44	"Other"	1	2
"12/2/15"	"15:35:57"	"R"	"CongressmanGT"	"Attended task force on Combatting Terrorist and Foreign Fighter Travel briefing this AM.  #Safety #Security"	"Safety Security"	.307	"Other"	1	2
"12/2/15"	"18:34:30"	"D"	"RepPerlmutter"	"People on the FBI‚Äôs Terrorist Watchlist shouldn‚Äôt be able to buy guns &amp; explosives- that‚Äôs why I‚Äôm supporting #HR1076."	""	-.281	"Other"	1	2
"12/3/15"	"1:56:29"	"D"	"AGBecerra"	"It‚Äôs time to end these senseless acts of #gunviolence terrorizing our children and families #SanBernardino #ColoradoSpringsShooting"	""	-.512	"Other"	1	2
"12/3/15"	"13:10:33"	"R"	"Robert_Aderholt"	"Contortions morning media going thru to shift #SanBernadinoShooting from suspected lone-wolf terrorism to gun control is astounding @msnbc"	"SanBernadinoShooting"	.361	"Other"	1	2
"12/3/15"	"14:29:35"	"R"	"MikeKellyPA"	"Everyone in #SanBernadino continues to be in my deepest prayers. Please keep praying for the victims and their families. Terror cannot win."	"SanBernadino"	.317	"Other"	1	2
"12/3/15"	"14:42:36"	"D"	"RepAdamSchiff"	"At this point, we can‚Äôt rule anything out. We're examining if any links to terror, workplace violence or other motivations. #SanBernardino"	""	-.348	"Other"	1	2
"12/3/15"	"22:15:09"	"R"	"KenCalvert"	"We will not and cannot let cowards with evil intentions terrorize our communities and our country."	""	.349	"Other"	1	2
"4/19/13"	"14:00:51"	"R"	"TomRooney"	"Video: by refusing to recognize #FtHood attacks as terrorism, Obama Admin denies victims #PurpleHeart, benefits http://t.co/zzmcGZ8keq"	"FtHood PurpleHeart"	.459	"Latino"	1	3
"4/4/14"	"19:30:30"	"R"	"JudgeCarter"	"I demanded answers from AG Holder on why the 09 #FtHood shooting has not been declared an act of terror. http://t.co/oUU4krxVo5"	"FtHood"	.467	"Latino"	1	3
"6/12/16"	"6:00:00"	"R"	"JimInhofe"	"My prayers are w/all those impacted by this senseless act of terror in Orlando. Thank you to brave 1st responders who saved lives."	""	.552	"Other"	1	2
"6/12/16"	"6:00:00"	"R"	"JohnBoozman"	"This act of terrorism in #Orlando is an attack on our freedoms. We must have the resolve to defeat #ISIS. https://t.co/JrY94bilZ7 #arpx"	""	.402	"Other"	1	2
"6/12/16"	"6:00:00"	"R"	"lisamurkowski"	"What happened in Orlando was an absolute tragic act of terrorism spawned by an ideology of hate being pushed by ISIS."	""	.207	"Other"	1	2
"6/12/16"	"6:00:00"	"R"	"SenatorBurr"	"Law enforcement authorities are investigating the attack as a terrorist incident, and we should allow the investigation to unfold."	""	.453	"Other"	1	2
"6/12/16"	"6:00:00"	"R"	"SenThomTillis"	"My heart goes out to everyone affected by the horrific act of terror in Orlando. Susan &amp; I are praying for the victims &amp; their families."	""	.428	"Other"	1	2
"6/12/16"	"6:00:00"	"R"	"SenToomey"	"Law enforcement officials are investigating this shooting as an act of terrorism &amp; it appears to have taken many lives. 2/3"	""	.631	"Other"	1	2
"6/12/16"	"13:48:16"	"R"	"RepDeSantis"	"My thoughts &amp; prayers are with the victims, families &amp; people of Orlando. Thanks to law enforcement who responded to this act of terror."	""	.665	"Other"	1	2
"6/12/16"	"14:01:55"	"R"	"RepRyanZinke"	"Saddened to wake up and see so many innocent lives lost in the terrorist attack in Orlando."	""	.412	"Other"	1	2
"6/12/16"	"14:15:58"	"D"	"RepSteveIsrael"	"Prayers for victims of terrorist gun attacks in #Orlando. Angry that @HouseGOP rejects closing gun loopholes. #beholdentoNRA"	"Orlando beholdentoNRA"	-.334	"Other"	1	2
"6/12/16"	"14:48:57"	"R"	"RepPaulCook"	"This morning's horrifying assault in Orlando was an act of hate and terror. My prayers are with the victims of this horrific act."	""	.385	"Other"	1	2
"6/12/16"	"14:59:24"	"R"	"petehoekstra"	"Islamist terror likely cause of massacre in Fla. @TheIPT scrubbing electronic, law enforcement sources for more info on vile attack"	""	.516	"Other"	1	2
"6/12/16"	"15:06:59"	"R"	"USRepDavidJolly"	"This is our Paris. Let us resolve today to always confront and defeat terror at the hands of evil so that this may never happen again. 2/2"	""	.23	"Other"	1	2
"6/12/16"	"15:46:17"	"R"	"RepMcCaul"	"This appears to be the worst terrorist attack on American soil since 9/11."	""	.449	"Other"	1	2
"6/12/16"	"15:57:50"	"D"	"RepJoeCourtney"	"Hate/terrorism has struck in Orlando today. America stands with #OrlandoStrong."	"OrlandoStrong"	-.344	"Other"	1	2
"6/12/16"	"16:15:09"	"R"	"RepDanDonovan"	"Praying for #Orlando victims + families. Our freedom and culture will never yield to hateful violence and terror."	"Orlando"	.224	"Other"	1	2
"6/12/16"	"16:22:05"	"D"	"GwenGraham"	"This act of terror is a hate crime against the entire LGBT community.  Hate and extremism is dangerous and disgusting in any form.  4/"	""	-.233	"Other"	1	2
"6/12/16"	"16:38:22"	"D"	"RepAdamSchiff"	"This morning, I'll be marching in WeHo Pride Parade with heavy heart. We march in solidarity with all victims of terrorism &amp; hatred #Orlando"	"Orlando"	-.348	"Other"	1	2
"6/12/16"	"16:39:48"	"R"	"RepLeeZeldin"	"Our entire country mourns the senseless loss of life in #Orlando after terror attack this AM https://t.co/A1uVuoodmA"	"Orlando"	.36	"Other"	1	2
