Date,Time,R_or_D,Before_or_After,screen_name,text,hashtags,Nominate_dim1,race,mentions_terror
7/8/16,15:12:32,D,After,RepTerriSewell,"""We need to turn tragedy into triumph through action."" @RepJeffries #DisarmHate https://t.co/t07fhFMqns",DisarmHate,-0.392,Other,0
7/7/16,22:35:37,D,After,RepTerriSewell,One of the tragic faces of gun violence in our district. I honored her on the house floor. https://t.co/DTWhLwSChu https://t.co/ScDknsXk2k,,-0.392,Black,0
12/3/15,0:10:02,D,After,RepTerriSewell,Praying for #SanBernadino. My heart is with those impacted by this tragedy.,SanBernadino,-0.392,Other,0
6/12/16,17:18:12,D,After,RepRubenGallego,"I am shocked &amp; horrified by news of the tragedy in Orlando. My thoughts &amp; prayers are w/ the victims, their families &amp; the LGBT community.",,-0.457,Other,0
12/3/15,2:12:05,D,After,RepDeSaulnier,How many more tragic incidents have to happen before Congress takes serious action? #SanBernardino https://t.co/sMGEYgihcL,SanBernardino,-0.53,Other,0
4/3/14,14:11:08,D,After,RepJuanVargas,My thoughts and prayers are with all those affected by the tragic  #FortHoodShooting.,FortHoodShooting,-0.394,Latino,0
9/16/13,21:43:24,D,After,RepLowenthal,My deepest condolences go out to the families and friends of the victims of this morning’s tragic shooting at the #DCNavyYard.,DCNavyYard,-0.446,Black,0
12/3/15,18:11:24,D,After,RepMarkTakano,I am heartbroken by the tragedy in San Bernardino. Gun violence cannot be considered the cost of freedom. It is the cost of inaction.,,-0.468,Other,0
6/18/15,11:34:28,D,After,RepMarkTakano,My heart aches for the victims and their families in #Charleston. A horrible tragedy.,Charleston,-0.468,White,0
6/18/15,13:27:21,D,After,CongressmanRuiz,I am deeply saddened to hear of the tragic shooting in #Charleston. My family &amp; I are keeping all those affected in our thoughts &amp; prayers.,Charleston,-0.237,White,0
9/16/13,17:20:03,D,After,CongressmanRuiz,"My thoughts &amp; prayers are w/all affected by the tragedy at Navy Yard in DC – esp victims, their families, &amp; first responders on scene.",,-0.237,Black,0
6/12/16,17:17:03,D,After,JuliaBrownley26,I am heartbroken by the tragedy in Orlando. We must stand against hate and the tools that allow our enemies to violently express it.,,-0.287,Other,0
12/3/15,22:02:38,D,After,JuliaBrownley26,My heart goes out to the victims and families of the two shootings yesterday. We cannot let another tragedy like this happen. We must act.,,-0.287,Other,0
9/16/13,18:42:34,D,After,JuliaBrownley26,Thoughts and prayers are with those impacted by today's tragic #NavyYardShooting. Proud of our brave first responders.,NavyYardShooting,-0.287,Black,0
6/12/16,17:57:38,D,After,RepBera,"My prayers are with the victims, families, and first responders affected by the tragic shooting in Orlando: https://t.co/XzTaeqCwEm",,-0.228,Other,0
7/16/15,23:16:09,D,After,RepSusanDavis,A senseless tragedy in Chattanooga. My thoughts and prayers are with the families of the four Marines killed today.,,-0.343,Other,0
9/16/13,19:26:36,D,After,LorettaSanchez,My thoughts and deepest prayers go out to all of those affected by the horrific tragedy in the #NavyYardShooting,NavyYardShooting,-0.367,Black,0
12/14/12,18:30:06,D,After,LorettaSanchez,"Thoughts and prayers are with the children, school faculty, and their families in CT. America stands with them thru this senseless tragedy.",,-0.367,White,0
7/20/12,15:11:32,D,After,LorettaSanchez,The shooting in Colorado last night was horrifying and I am stunned and saddened to hear of this unnecessary tragedy.,,-0.367,White,0
6/12/16,12:05:50,D,After,RepLindaSanchez,I'm heartbroken by this tragedy. But I know when we confront such evil in the world - love always wins. #lovealwayswins #PrideMonth #orlando,lovealwayswins PrideMonth orlando,-0.508,Other,0
12/14/12,19:46:50,D,After,RepLindaSanchez,"My thoughts and prayers are with the victims of this senseless tragedy in Newtown, CT.",,-0.508,White,0
12/15/12,1:21:10,D,After,gracenapolitano,"Deeply saddened by tragedy in #Newtown this morning. Thoughts and prayers with children, families, and community http://t.co/3NsLFgul",Newtown,-0.447,White,0
12/14/12,19:33:12,D,After,RepMaxineWaters,"My thoughts and prayers are with the victims, their families, &amp; all those affected by the tragedy at Sandy Hook Elem. School in Newtown, CT.",,-0.656,White,0
12/3/15,15:28:30,D,After,BradSherman,"Was on @cspanwj discussing #ISIS, US foreign policy, #SyrianRefugees and the tragedy in #SanBernadino https://t.co/jKov1emAVT",ISIS SyrianRefugees SanBernadino,-0.341,Other,0
12/3/15,13:33:46,D,After,BradSherman,"I am on @cspanwj this morning from 8:20 to 9:00am (5:20 to 6amPT) discussing ISIS, US foreign policy and the tragedy in San Bernardino",,-0.341,Other,0
6/13/16,14:50:02,D,After,RepAdamSchiff,"To all those tweeting me after yet another tragedy: I hear you, I agree with you. Congress must act to pass common-sense gun laws. #NoExcuse",NoExcuse,-0.348,Other,0
6/12/16,16:48:33,D,After,RepAdamSchiff,ICYMI: I spoke with @jaketapper on @CNNSotu this morning about the tragic #Orlando attack: https://t.co/kKcCdV9n5s,Orlando,-0.348,Other,0
7/16/15,22:39:42,D,After,RepAdamSchiff,#ChattanoogaShooting that left four service members murdered &amp; others wounded is terrible tragedy.  Thoughts are w/ victims &amp; their families,ChattanoogaShooting,-0.348,Other,0
6/13/16,19:25:07,D,After,RepLoisCapps,The Orlando shooting is a tragic reminder that our missions for #LGBT equality and to prevent gun violence are far from over. #NotOneMore,LGBT NotOneMore,-0.389,Other,0
6/12/16,16:52:53,D,After,RepLoisCapps,Horrified by the violence in Orlando last night. We stand with the victims of this tragedy and their families.,,-0.389,Other,0
5/24/14,14:17:59,D,After,RepLoisCapps,"We are all grieving over the lives claimed in the senseless tragedy last night in Isla Vista.
https://t.co/Bo4LGstwIj",,-0.389,White,0
7/20/12,15:52:52,D,After,RepLoisCapps,My thoughts and prayers are with the victims of the horrific shooting in Colorado and their families. What a senseless tragedy.#Aurora,Aurora,-0.389,White,0
12/2/15,22:36:36,D,After,RepJimCosta,My thoughts and prayers are with the victims and all those affected by the tragic shooting in San Bernardino.,,-0.187,Other,0
6/18/15,21:24:45,D,After,RepJimCosta,"My thoughts and prayers are with the victims, their families and the #Charleston community. What a senseless tragedy.  #CharlestonShooting",Charleston CharlestonShooting,-0.187,White,0
9/16/13,20:24:31,D,After,RepJimCosta,"Thoughts &amp; prayers to the @USNavy family, victims, &amp; survivors impacted by the #NavyYardShooting. Our hearts are heavy on this tragic day.",NavyYardShooting,-0.187,Black,0
8/5/12,21:31:41,D,After,RepJimCosta,Thoughts and prayers to the people of #Milwaukee. Senseless tragedy today at the Sikh Temple.,Milwaukee,-0.187,White,0
7/20/12,20:06:00,D,After,RepJimCosta,My thoughts and prayers are with the people of #Aurora. Deeply saddened by the terrible tragedy that has taken place.,Aurora,-0.187,White,0
7/20/12,17:35:01,D,After,RepCardoza,"My thoughts and prayers go out to the families and victims of last night's senseless tragedy in Aurora, CO.",,-0.262,White,0
