Date,Time,R_or_D,Before_or_After,screen_name,text,hashtags,Nominate_dim1,race,mentions_terror,Shooting_related_terrorism
11/28/15,20:24:05,D,After,RepLawrence,Tell @TheJusticeDept to #InvestigateClinicViolence as domestic terrorism. Sign now: https://t.co/FVjlfANQ9Y,InvestigateClinicViolence,-0.437,White,1,1
11/30/15,6:00:00,D,Before,SenatorReid,"In wake of domestic terrorist act, I commend @PPFA for refusing to allow threats and violence to stand in the way of its important work.",,-0.276,White,1,1
12/2/15,15:34:21,D,After,RepLawrence,When will @HouseGOP close the loophole that allows suspected #terrorists to legally buy guns in the U.S.? https://t.co/iiViA3RdII,terrorists,-0.437,Other,1,1
12/2/15,15:35:57,R,After,CongressmanGT,Attended task force on Combatting Terrorist and Foreign Fighter Travel briefing this AM.  #Safety #Security,Safety Security,0.307,Other,1,1
12/2/15,18:34:30,D,,RepPerlmutter,People on the FBI’s Terrorist Watchlist shouldn’t be able to buy guns &amp; explosives- that’s why I’m supporting #HR1076.,,,Other,1,1
12/3/15,1:56:29,D,,AGBecerra,It’s time to end these senseless acts of #gunviolence terrorizing our children and families #SanBernardino #ColoradoSpringsShooting,,,Other,1,1
12/3/15,13:10:33,R,After,Robert_Aderholt,Contortions morning media going thru to shift #SanBernadinoShooting from suspected lone-wolf terrorism to gun control is astounding @msnbc,SanBernadinoShooting,0.361,Other,1,1
12/3/15,14:29:35,R,After,MikeKellyPA,Everyone in #SanBernadino continues to be in my deepest prayers. Please keep praying for the victims and their families. Terror cannot win.,SanBernadino,0.318,Other,1,1
12/3/15,14:42:36,D,,RepAdamSchiff,"At this point, we can’t rule anything out. We're examining if any links to terror, workplace violence or other motivations. #SanBernardino",,,Other,1,1
12/3/15,17:26:36,D,After,RepAdamSchiff,FBI is conducting investigation into suspects to determine motive &amp; whether there is any connection to terror or evidence of radicalization.,,-0.348,Other,1,1
12/3/15,20:30:48,R,After,MikeKellyPA,"Mr. President: Instead of climate control or gun control, we need terror control and serious American leadership for a world out of control.",,0.318,Other,1,1
12/3/15,22:15:09,R,After,KenCalvert,We will not and cannot let cowards with evil intentions terrorize our communities and our country.,,0.349,Other,1,1
4/19/13,12:20:32,R,Before,RepPeteKing,Praying that the 2nd terrorist in Boston will be stopped with no more casualties to police or innocent bystanders,,0.26,White,1,0
4/19/13,13:31:59,D,Before,RepAndreCarson,"The people of Boston, and our nation as a whole, stand together in defiance of terror. http://t.co/IGkGtGxv7P",,-0.426,White,1,0
